,subject,deck,counts,trial,proportion
0,0,1,1493,0,0.249
1,0,2,1491,0,0.248
2,0,3,1498,0,0.25
3,0,4,1518,0,0.253
4,1,1,1478,0,0.246
5,1,2,1540,0,0.257
6,1,3,1463,0,0.244
7,1,4,1519,0,0.253
8,2,1,1488,0,0.248
9,2,2,1489,0,0.248
10,2,3,1536,0,0.256
11,2,4,1487,0,0.248
12,3,1,1547,0,0.258
13,3,2,1506,0,0.251
14,3,3,1434,0,0.239
15,3,4,1513,0,0.252
16,4,1,1522,0,0.254
17,4,2,1511,0,0.252
18,4,3,1502,0,0.25
19,4,4,1465,0,0.244
20,5,1,1520,0,0.253
21,5,2,1445,0,0.241
22,5,3,1499,0,0.25
23,5,4,1536,0,0.256
24,6,1,1541,0,0.257
25,6,2,1471,0,0.245
26,6,3,1499,0,0.25
27,6,4,1489,0,0.248
28,7,1,1456,0,0.243
29,7,2,1498,0,0.25
30,7,3,1533,0,0.256
31,7,4,1513,0,0.252
32,8,1,1523,0,0.254
33,8,2,1497,0,0.25
34,8,3,1494,0,0.249
35,8,4,1486,0,0.248
36,9,1,1510,0,0.252
37,9,2,1536,0,0.256
38,9,3,1476,0,0.246
39,9,4,1478,0,0.246
40,10,1,1520,0,0.253
41,10,2,1510,0,0.252
42,10,3,1490,0,0.248
43,10,4,1480,0,0.247
44,11,1,1504,0,0.251
45,11,2,1461,0,0.244
46,11,3,1526,0,0.254
47,11,4,1509,0,0.252
48,12,1,1555,0,0.259
49,12,2,1500,0,0.25
50,12,3,1497,0,0.25
51,12,4,1448,0,0.241
52,13,1,1516,0,0.253
53,13,2,1453,0,0.242
54,13,3,1530,0,0.255
55,13,4,1501,0,0.25
56,14,1,1481,0,0.247
57,14,2,1525,0,0.254
58,14,3,1446,0,0.241
59,14,4,1548,0,0.258
60,15,1,1475,0,0.246
61,15,2,1538,0,0.256
62,15,3,1476,0,0.246
63,15,4,1511,0,0.252
64,16,1,1532,0,0.255
65,16,2,1484,0,0.247
66,16,3,1504,0,0.251
67,16,4,1480,0,0.247
68,17,1,1440,0,0.24
69,17,2,1507,0,0.251
70,17,3,1501,0,0.25
71,17,4,1552,0,0.259
72,18,1,1474,0,0.246
73,18,2,1515,0,0.252
74,18,3,1489,0,0.248
75,18,4,1522,0,0.254
76,19,1,1475,0,0.246
77,19,2,1470,0,0.245
78,19,3,1537,0,0.256
79,19,4,1518,0,0.253
80,20,1,1517,0,0.253
81,20,2,1495,0,0.249
82,20,3,1529,0,0.255
83,20,4,1459,0,0.243
84,21,1,1543,0,0.257
85,21,2,1481,0,0.247
86,21,3,1528,0,0.255
87,21,4,1448,0,0.241
88,22,1,1456,0,0.243
89,22,2,1515,0,0.252
90,22,3,1587,0,0.264
91,22,4,1442,0,0.24
92,23,1,1528,0,0.255
93,23,2,1471,0,0.245
94,23,3,1513,0,0.252
95,23,4,1488,0,0.248
96,24,1,1547,0,0.258
97,24,2,1455,0,0.242
98,24,3,1467,0,0.244
99,24,4,1531,0,0.255
100,25,1,1535,0,0.256
101,25,2,1508,0,0.251
102,25,3,1473,0,0.246
103,25,4,1484,0,0.247
104,26,1,1503,0,0.25
105,26,2,1451,0,0.242
106,26,3,1524,0,0.254
107,26,4,1522,0,0.254
108,27,1,1535,0,0.256
109,27,2,1442,0,0.24
110,27,3,1507,0,0.251
111,27,4,1516,0,0.253
112,28,1,1479,0,0.246
113,28,2,1530,0,0.255
114,28,3,1477,0,0.246
115,28,4,1514,0,0.252
116,29,1,1464,0,0.244
117,29,2,1521,0,0.254
118,29,3,1525,0,0.254
119,29,4,1490,0,0.248
120,30,1,1464,0,0.244
121,30,2,1558,0,0.26
122,30,3,1444,0,0.241
123,30,4,1534,0,0.256
124,31,1,1523,0,0.254
125,31,2,1473,0,0.246
126,31,3,1498,0,0.25
127,31,4,1506,0,0.251
128,32,1,1468,0,0.245
129,32,2,1484,0,0.247
130,32,3,1525,0,0.254
131,32,4,1523,0,0.254
132,33,1,1545,0,0.258
133,33,2,1457,0,0.243
134,33,3,1506,0,0.251
135,33,4,1492,0,0.249
136,34,1,1542,0,0.257
137,34,2,1486,0,0.248
138,34,3,1501,0,0.25
139,34,4,1471,0,0.245
140,35,1,1465,0,0.244
141,35,2,1497,0,0.25
142,35,3,1512,0,0.252
143,35,4,1526,0,0.254
144,36,1,1515,0,0.252
145,36,2,1516,0,0.253
146,36,3,1462,0,0.244
147,36,4,1507,0,0.251
148,37,1,1493,0,0.249
149,37,2,1501,0,0.25
150,37,3,1518,0,0.253
151,37,4,1488,0,0.248
152,38,1,1471,0,0.245
153,38,2,1536,0,0.256
154,38,3,1500,0,0.25
155,38,4,1493,0,0.249
156,39,1,1443,0,0.24
157,39,2,1495,0,0.249
158,39,3,1511,0,0.252
159,39,4,1551,0,0.258
160,40,1,1585,0,0.264
161,40,2,1482,0,0.247
162,40,3,1481,0,0.247
163,40,4,1452,0,0.242
164,41,1,1521,0,0.254
165,41,2,1428,0,0.238
166,41,3,1510,0,0.252
167,41,4,1541,0,0.257
168,42,1,1470,0,0.245
169,42,2,1558,0,0.26
170,42,3,1513,0,0.252
171,42,4,1459,0,0.243
172,43,1,1477,0,0.246
173,43,2,1510,0,0.252
174,43,3,1491,0,0.248
175,43,4,1522,0,0.254
176,44,1,1474,0,0.246
177,44,2,1475,0,0.246
178,44,3,1542,0,0.257
179,44,4,1509,0,0.252
180,45,1,1547,0,0.258
181,45,2,1438,0,0.24
182,45,3,1515,0,0.252
183,45,4,1500,0,0.25
184,46,1,1514,0,0.252
185,46,2,1540,0,0.257
186,46,3,1502,0,0.25
187,46,4,1444,0,0.241
188,47,1,1518,0,0.253
189,47,2,1478,0,0.246
190,47,3,1542,0,0.257
191,47,4,1462,0,0.244
192,0,1,1113,1,0.186
193,0,2,1112,1,0.185
194,0,3,2686,1,0.448
195,0,4,1089,1,0.182
196,1,1,1451,1,0.242
197,1,2,1529,1,0.255
198,1,3,1488,1,0.248
199,1,4,1532,1,0.255
200,2,1,1785,1,0.298
201,2,2,741,1,0.124
202,2,3,1728,1,0.288
203,2,4,1746,1,0.291
204,3,1,1794,1,0.299
205,3,2,1389,1,0.232
206,3,3,1404,1,0.234
207,3,4,1413,1,0.236
208,4,1,1107,1,0.184
209,4,2,1078,1,0.18
210,4,3,2684,1,0.447
211,4,4,1131,1,0.188
212,5,1,1220,1,0.203
213,5,2,2364,1,0.394
214,5,3,1212,1,0.202
215,5,4,1204,1,0.201
216,6,1,3019,1,0.503
217,6,2,1009,1,0.168
218,6,3,985,1,0.164
219,6,4,987,1,0.164
220,7,1,1865,1,0.311
221,7,2,1790,1,0.298
