,subject,deck,counts,trial,proportion
0,0,1,1497,0,0.25
1,0,2,1523,0,0.254
2,0,3,1470,0,0.245
3,0,4,1510,0,0.252
4,1,1,1492,0,0.249
5,1,2,1504,0,0.251
6,1,3,1509,0,0.252
7,1,4,1495,0,0.249
8,2,1,1493,0,0.249
9,2,2,1545,0,0.258
10,2,3,1452,0,0.242
11,2,4,1510,0,0.252
12,3,1,1467,0,0.244
13,3,2,1537,0,0.256
14,3,3,1479,0,0.246
15,3,4,1517,0,0.253
16,4,1,1525,0,0.254
17,4,2,1447,0,0.241
18,4,3,1520,0,0.253
19,4,4,1508,0,0.251
20,5,1,1508,0,0.251
21,5,2,1489,0,0.248
22,5,3,1487,0,0.248
23,5,4,1516,0,0.253
24,6,1,1523,0,0.254
25,6,2,1491,0,0.248
26,6,3,1544,0,0.257
27,6,4,1442,0,0.24
28,7,1,1497,0,0.25
29,7,2,1476,0,0.246
30,7,3,1537,0,0.256
31,7,4,1490,0,0.248
32,8,1,1521,0,0.254
33,8,2,1514,0,0.252
34,8,3,1455,0,0.242
35,8,4,1510,0,0.252
36,9,1,1505,0,0.251
37,9,2,1479,0,0.246
38,9,3,1483,0,0.247
39,9,4,1533,0,0.256
40,10,1,1555,0,0.259
41,10,2,1511,0,0.252
42,10,3,1475,0,0.246
43,10,4,1459,0,0.243
44,11,1,1560,0,0.26
45,11,2,1558,0,0.26
46,11,3,1424,0,0.237
47,11,4,1458,0,0.243
48,12,1,1496,0,0.249
49,12,2,1556,0,0.259
50,12,3,1435,0,0.239
51,12,4,1513,0,0.252
52,13,1,1461,0,0.244
53,13,2,1523,0,0.254
54,13,3,1538,0,0.256
55,13,4,1478,0,0.246
56,14,1,1506,0,0.251
57,14,2,1565,0,0.261
58,14,3,1483,0,0.247
59,14,4,1446,0,0.241
60,15,1,1593,0,0.266
61,15,2,1500,0,0.25
62,15,3,1474,0,0.246
63,15,4,1433,0,0.239
64,16,1,1460,0,0.243
65,16,2,1550,0,0.258
66,16,3,1464,0,0.244
67,16,4,1526,0,0.254
68,17,1,1510,0,0.252
69,17,2,1473,0,0.246
70,17,3,1499,0,0.25
71,17,4,1518,0,0.253
72,18,1,1523,0,0.254
73,18,2,1505,0,0.251
74,18,3,1506,0,0.251
75,18,4,1466,0,0.244
76,19,1,1498,0,0.25
77,19,2,1535,0,0.256
78,19,3,1481,0,0.247
79,19,4,1486,0,0.248
80,20,1,1513,0,0.252
81,20,2,1446,0,0.241
82,20,3,1522,0,0.254
83,20,4,1519,0,0.253
84,21,1,1512,0,0.252
85,21,2,1467,0,0.244
86,21,3,1495,0,0.249
87,21,4,1526,0,0.254
88,22,1,1496,0,0.249
89,22,2,1506,0,0.251
90,22,3,1544,0,0.257
91,22,4,1454,0,0.242
92,23,1,1436,0,0.239
93,23,2,1534,0,0.256
94,23,3,1487,0,0.248
95,23,4,1543,0,0.257
96,24,1,1438,0,0.24
97,24,2,1531,0,0.255
98,24,3,1535,0,0.256
99,24,4,1496,0,0.249
100,25,1,1551,0,0.258
101,25,2,1491,0,0.248
102,25,3,1404,0,0.234
103,25,4,1554,0,0.259
104,26,1,1528,0,0.255
105,26,2,1517,0,0.253
106,26,3,1490,0,0.248
107,26,4,1465,0,0.244
108,27,1,1557,0,0.26
109,27,2,1440,0,0.24
110,27,3,1537,0,0.256
111,27,4,1466,0,0.244
112,28,1,1476,0,0.246
113,28,2,1497,0,0.25
114,28,3,1522,0,0.254
115,28,4,1505,0,0.251
116,29,1,1482,0,0.247
117,29,2,1464,0,0.244
118,29,3,1582,0,0.264
119,29,4,1472,0,0.245
120,30,1,1518,0,0.253
121,30,2,1486,0,0.248
122,30,3,1504,0,0.251
123,30,4,1492,0,0.249
124,31,1,1533,0,0.256
125,31,2,1497,0,0.25
126,31,3,1519,0,0.253
127,31,4,1451,0,0.242
128,32,1,1456,0,0.243
129,32,2,1526,0,0.254
130,32,3,1536,0,0.256
131,32,4,1482,0,0.247
132,33,1,1475,0,0.246
133,33,2,1491,0,0.248
134,33,3,1501,0,0.25
135,33,4,1533,0,0.256
136,34,1,1569,0,0.262
137,34,2,1464,0,0.244
138,34,3,1435,0,0.239
139,34,4,1532,0,0.255
140,35,1,1488,0,0.248
141,35,2,1471,0,0.245
142,35,3,1488,0,0.248
143,35,4,1553,0,0.259
144,36,1,1468,0,0.245
145,36,2,1446,0,0.241
146,36,3,1536,0,0.256
147,36,4,1550,0,0.258
148,37,1,1514,0,0.252
149,37,2,1529,0,0.255
150,37,3,1446,0,0.241
151,37,4,1511,0,0.252
152,38,1,1504,0,0.251
153,38,2,1472,0,0.245
154,38,3,1524,0,0.254
155,38,4,1500,0,0.25
156,39,1,1406,0,0.234
157,39,2,1569,0,0.262
158,39,3,1479,0,0.246
159,39,4,1546,0,0.258
160,40,1,1464,0,0.244
161,40,2,1483,0,0.247
162,40,3,1519,0,0.253
163,40,4,1534,0,0.256
164,41,1,1491,0,0.248
165,41,2,1524,0,0.254
166,41,3,1500,0,0.25
167,41,4,1485,0,0.248
168,42,1,1494,0,0.249
169,42,2,1423,0,0.237
170,42,3,1562,0,0.26
171,42,4,1521,0,0.254
172,0,1,1143,1,0.19
173,0,2,1145,1,0.191
174,0,3,2566,1,0.428
175,0,4,1146,1,0.191
176,1,1,1721,1,0.287
177,1,2,802,1,0.134
178,1,3,1699,1,0.283
