,trial,deck,counts,proportion
0,0,1,13,0.271
1,0,2,18,0.375
2,0,3,14,0.292
3,0,4,3,0.062
4,1,1,13,0.271
5,1,2,12,0.25
6,1,3,14,0.292
7,1,4,9,0.188
8,2,1,10,0.208
9,2,2,15,0.312
10,2,3,18,0.375
11,2,4,5,0.104
12,3,1,11,0.229
13,3,2,15,0.312
14,3,3,8,0.167
15,3,4,14,0.292
16,4,1,11,0.229
17,4,2,13,0.271
18,4,3,16,0.333
19,4,4,8,0.167
20,5,1,18,0.375
21,5,2,12,0.25
22,5,3,8,0.167
23,5,4,10,0.208
24,6,1,17,0.354
25,6,2,14,0.292
26,6,3,11,0.229
27,6,4,6,0.125
28,7,1,15,0.312
29,7,2,13,0.271
30,7,3,7,0.146
31,7,4,13,0.271
32,8,1,14,0.292
33,8,2,11,0.229
34,8,3,9,0.188
35,8,4,14,0.292
36,9,1,12,0.25
37,9,2,10,0.208
38,9,3,15,0.312
39,9,4,11,0.229
40,10,1,14,0.292
41,10,2,14,0.292
42,10,3,9,0.188
43,10,4,11,0.229
44,11,1,12,0.25
45,11,2,12,0.25
46,11,3,11,0.229
47,11,4,13,0.271
48,12,1,11,0.229
49,12,2,16,0.333
50,12,3,11,0.229
51,12,4,10,0.208
52,13,1,14,0.292
53,13,2,15,0.312
54,13,3,8,0.167
55,13,4,11,0.229
56,14,1,14,0.292
57,14,2,20,0.417
58,14,3,8,0.167
59,14,4,6,0.125
60,15,1,14,0.292
61,15,2,18,0.375
62,15,3,7,0.146
63,15,4,9,0.188
64,16,1,11,0.229
65,16,2,17,0.354
66,16,3,10,0.208
67,16,4,10,0.208
68,17,1,12,0.25
69,17,2,12,0.25
70,17,3,9,0.188
71,17,4,15,0.312
72,18,1,5,0.104
73,18,2,18,0.375
74,18,3,11,0.229
75,18,4,14,0.292
76,19,1,9,0.188
77,19,2,17,0.354
78,19,3,10,0.208
79,19,4,12,0.25
80,20,1,14,0.292
81,20,2,12,0.25
82,20,3,12,0.25
83,20,4,10,0.208
84,21,1,12,0.25
85,21,2,14,0.292
86,21,3,10,0.208
87,21,4,12,0.25
88,22,1,11,0.229
89,22,2,13,0.271
90,22,3,9,0.188
91,22,4,15,0.312
92,23,1,11,0.229
93,23,2,10,0.208
94,23,3,13,0.271
95,23,4,14,0.292
96,24,1,10,0.208
97,24,2,9,0.188
98,24,3,12,0.25
99,24,4,17,0.354
100,25,1,12,0.25
101,25,2,17,0.354
102,25,3,8,0.167
103,25,4,11,0.229
104,26,1,12,0.25
105,26,2,9,0.188
106,26,3,8,0.167
107,26,4,19,0.396
108,27,1,11,0.229
109,27,2,10,0.208
110,27,3,10,0.208
111,27,4,17,0.354
112,28,1,9,0.188
113,28,2,15,0.312
114,28,3,13,0.271
115,28,4,11,0.229
116,29,1,10,0.208
117,29,2,12,0.25
118,29,3,12,0.25
119,29,4,14,0.292
120,30,1,13,0.271
121,30,2,14,0.292
122,30,3,9,0.188
123,30,4,12,0.25
124,31,1,10,0.208
125,31,2,10,0.208
126,31,3,13,0.271
127,31,4,15,0.312
128,32,1,7,0.146
129,32,2,13,0.271
130,32,3,9,0.188
131,32,4,19,0.396
132,33,1,7,0.146
133,33,2,6,0.125
134,33,3,16,0.333
135,33,4,19,0.396
136,34,1,10,0.208
137,34,2,12,0.25
138,34,3,7,0.146
139,34,4,19,0.396
140,35,1,6,0.125
141,35,2,14,0.292
142,35,3,10,0.208
143,35,4,18,0.375
144,36,1,9,0.188
145,36,2,15,0.312
146,36,3,10,0.208
147,36,4,14,0.292
148,37,1,8,0.167
149,37,2,12,0.25
150,37,3,8,0.167
151,37,4,20,0.417
152,38,1,7,0.146
153,38,2,19,0.396
154,38,3,14,0.292
155,38,4,8,0.167
156,39,1,9,0.188
157,39,2,17,0.354
158,39,3,8,0.167
159,39,4,14,0.292
160,40,1,4,0.083
161,40,2,16,0.333
162,40,3,10,0.208
163,40,4,18,0.375
164,41,1,9,0.188
165,41,2,11,0.229
166,41,3,13,0.271
167,41,4,15,0.312
168,42,1,8,0.167
169,42,2,16,0.333
170,42,3,8,0.167
171,42,4,16,0.333
172,43,1,10,0.208
173,43,2,9,0.188
174,43,3,12,0.25
175,43,4,17,0.354
176,44,1,11,0.229
177,44,2,14,0.292
178,44,3,8,0.167
179,44,4,15,0.312
180,45,1,9,0.188
181,45,2,16,0.333
182,45,3,13,0.271
183,45,4,10,0.208
184,46,1,8,0.167
185,46,2,14,0.292
186,46,3,8,0.167
187,46,4,18,0.375
188,47,1,9,0.188
189,47,2,12,0.25
190,47,3,12,0.25
191,47,4,15,0.312
192,48,1,12,0.25
193,48,2,12,0.25
194,48,3,8,0.167
195,48,4,16,0.333
196,49,1,2,0.042
197,49,2,16,0.333
198,49,3,10,0.208
199,49,4,20,0.417
200,50,1,8,0.167
201,50,2,20,0.417
202,50,3,8,0.167
203,50,4,12,0.25
204,51,1,5,0.104
205,51,2,11,0.229
206,51,3,19,0.396
207,51,4,13,0.271
208,52,1,8,0.167
209,52,2,11,0.229
210,52,3,11,0.229
211,52,4,18,0.375
212,53,1,6,0.125
213,53,2,12,0.25
214,53,3,8,0.167
215,53,4,22,0.458
216,54,1,11,0.229
217,54,2,15,0.312
218,54,3,7,0.146
219,54,4,15,0.312
220,55,1,11,0.229
221,55,2,8,0.167
222,55,3,10,0.208
223,55,4,19,0.396
224,56,1,7,0.146
225,56,2,12,0.25
226,56,3,11,0.229
227,56,4,18,0.375
228,57,1,9,0.188
229,57,2,9,0.188
230,57,3,14,0.292
231,57,4,16,0.333
232,58,1,10,0.208
233,58,2,13,0.271
234,58,3,10,0.208
235,58,4,15,0.312
236,59,1,9,0.188
237,59,2,19,0.396
238,59,3,8,0.167
239,59,4,12,0.25
240,60,1,12,0.25
241,60,2,9,0.188
242,60,3,14,0.292
