,subject,deck,counts,trial,proportion
0,0,1,1468,0,0.245
1,0,2,1505,0,0.251
2,0,3,1509,0,0.252
3,0,4,1518,0,0.253
4,1,1,1432,0,0.239
5,1,2,1470,0,0.245
6,1,3,1538,0,0.256
7,1,4,1560,0,0.26
8,2,1,1481,0,0.247
9,2,2,1507,0,0.251
10,2,3,1469,0,0.245
11,2,4,1543,0,0.257
12,3,1,1511,0,0.252
13,3,2,1501,0,0.25
14,3,3,1470,0,0.245
15,3,4,1518,0,0.253
16,4,1,1463,0,0.244
17,4,2,1525,0,0.254
18,4,3,1504,0,0.251
19,4,4,1508,0,0.251
20,5,1,1579,0,0.263
21,5,2,1486,0,0.248
22,5,3,1456,0,0.243
23,5,4,1479,0,0.246
24,6,1,1559,0,0.26
25,6,2,1429,0,0.238
26,6,3,1495,0,0.249
27,6,4,1517,0,0.253
28,7,1,1504,0,0.251
29,7,2,1471,0,0.245
30,7,3,1512,0,0.252
31,7,4,1513,0,0.252
32,8,1,1476,0,0.246
33,8,2,1506,0,0.251
34,8,3,1501,0,0.25
35,8,4,1517,0,0.253
36,9,1,1470,0,0.245
37,9,2,1513,0,0.252
38,9,3,1520,0,0.253
39,9,4,1497,0,0.25
40,10,1,1567,0,0.261
41,10,2,1485,0,0.248
42,10,3,1508,0,0.251
43,10,4,1440,0,0.24
44,11,1,1540,0,0.257
45,11,2,1472,0,0.245
46,11,3,1520,0,0.253
47,11,4,1468,0,0.245
48,12,1,1447,0,0.241
49,12,2,1498,0,0.25
50,12,3,1564,0,0.261
51,12,4,1491,0,0.248
52,13,1,1480,0,0.247
53,13,2,1489,0,0.248
54,13,3,1535,0,0.256
55,13,4,1496,0,0.249
56,14,1,1536,0,0.256
57,14,2,1500,0,0.25
58,14,3,1464,0,0.244
59,14,4,1500,0,0.25
60,15,1,1461,0,0.244
61,15,2,1542,0,0.257
62,15,3,1488,0,0.248
63,15,4,1509,0,0.252
64,16,1,1527,0,0.254
65,16,2,1505,0,0.251
66,16,3,1451,0,0.242
67,16,4,1517,0,0.253
68,17,1,1498,0,0.25
69,17,2,1565,0,0.261
70,17,3,1413,0,0.236
71,17,4,1524,0,0.254
72,18,1,1492,0,0.249
73,18,2,1467,0,0.244
74,18,3,1522,0,0.254
75,18,4,1519,0,0.253
76,19,1,1583,0,0.264
77,19,2,1513,0,0.252
78,19,3,1477,0,0.246
79,19,4,1427,0,0.238
80,20,1,1526,0,0.254
81,20,2,1444,0,0.241
82,20,3,1552,0,0.259
83,20,4,1478,0,0.246
84,21,1,1490,0,0.248
85,21,2,1489,0,0.248
86,21,3,1474,0,0.246
87,21,4,1547,0,0.258
88,22,1,1539,0,0.256
89,22,2,1478,0,0.246
90,22,3,1484,0,0.247
91,22,4,1499,0,0.25
92,23,1,1510,0,0.252
93,23,2,1463,0,0.244
94,23,3,1542,0,0.257
95,23,4,1485,0,0.248
96,24,1,1551,0,0.258
97,24,2,1527,0,0.254
98,24,3,1446,0,0.241
99,24,4,1476,0,0.246
100,25,1,1513,0,0.252
101,25,2,1499,0,0.25
102,25,3,1473,0,0.246
103,25,4,1515,0,0.252
104,26,1,1517,0,0.253
105,26,2,1479,0,0.246
106,26,3,1570,0,0.262
107,26,4,1434,0,0.239
108,27,1,1541,0,0.257
109,27,2,1476,0,0.246
110,27,3,1482,0,0.247
111,27,4,1501,0,0.25
112,28,1,1494,0,0.249
113,28,2,1488,0,0.248
114,28,3,1574,0,0.262
115,28,4,1444,0,0.241
116,29,1,1553,0,0.259
117,29,2,1527,0,0.254
118,29,3,1441,0,0.24
119,29,4,1479,0,0.246
120,30,1,1484,0,0.247
121,30,2,1518,0,0.253
122,30,3,1512,0,0.252
123,30,4,1486,0,0.248
124,31,1,1502,0,0.25
125,31,2,1525,0,0.254
126,31,3,1459,0,0.243
127,31,4,1514,0,0.252
128,32,1,1543,0,0.257
129,32,2,1449,0,0.242
130,32,3,1452,0,0.242
131,32,4,1556,0,0.259
132,33,1,1539,0,0.256
133,33,2,1493,0,0.249
134,33,3,1486,0,0.248
135,33,4,1482,0,0.247
136,34,1,1543,0,0.257
137,34,2,1513,0,0.252
138,34,3,1532,0,0.255
139,34,4,1412,0,0.235
140,35,1,1486,0,0.248
141,35,2,1511,0,0.252
142,35,3,1522,0,0.254
143,35,4,1481,0,0.247
144,36,1,1486,0,0.248
145,36,2,1482,0,0.247
146,36,3,1469,0,0.245
147,36,4,1563,0,0.26
148,37,1,1516,0,0.253
149,37,2,1536,0,0.256
150,37,3,1456,0,0.243
151,37,4,1492,0,0.249
152,0,1,1057,1,0.176
153,0,2,1066,1,0.178
154,0,3,2755,1,0.459
155,0,4,1122,1,0.187
156,1,1,892,1,0.149
157,1,2,3485,1,0.581
158,1,3,842,1,0.14
159,1,4,781,1,0.13
