,subject,deck,counts,trial,proportion
0,0,1,1459,0,0.243
1,0,2,1537,0,0.256
2,0,3,1489,0,0.248
3,0,4,1515,0,0.252
4,1,1,1451,0,0.242
5,1,2,1569,0,0.262
6,1,3,1472,0,0.245
7,1,4,1508,0,0.251
8,2,1,1467,0,0.244
9,2,2,1545,0,0.258
10,2,3,1490,0,0.248
11,2,4,1498,0,0.25
12,3,1,1470,0,0.245
13,3,2,1472,0,0.245
14,3,3,1559,0,0.26
15,3,4,1499,0,0.25
16,4,1,1533,0,0.256
17,4,2,1457,0,0.243
18,4,3,1474,0,0.246
19,4,4,1536,0,0.256
20,5,1,1476,0,0.246
21,5,2,1429,0,0.238
22,5,3,1588,0,0.265
23,5,4,1507,0,0.251
24,6,1,1517,0,0.253
25,6,2,1474,0,0.246
26,6,3,1508,0,0.251
27,6,4,1501,0,0.25
28,7,1,1495,0,0.249
29,7,2,1494,0,0.249
30,7,3,1541,0,0.257
31,7,4,1470,0,0.245
32,8,1,1538,0,0.256
33,8,2,1481,0,0.247
34,8,3,1495,0,0.249
35,8,4,1486,0,0.248
36,9,1,1482,0,0.247
37,9,2,1490,0,0.248
38,9,3,1485,0,0.248
39,9,4,1543,0,0.257
40,10,1,1514,0,0.252
41,10,2,1462,0,0.244
42,10,3,1498,0,0.25
43,10,4,1526,0,0.254
44,11,1,1508,0,0.251
45,11,2,1489,0,0.248
46,11,3,1552,0,0.259
47,11,4,1451,0,0.242
48,12,1,1471,0,0.245
49,12,2,1486,0,0.248
50,12,3,1542,0,0.257
51,12,4,1501,0,0.25
52,13,1,1560,0,0.26
53,13,2,1474,0,0.246
54,13,3,1502,0,0.25
55,13,4,1464,0,0.244
56,14,1,1575,0,0.262
57,14,2,1507,0,0.251
58,14,3,1434,0,0.239
59,14,4,1484,0,0.247
60,15,1,1502,0,0.25
61,15,2,1488,0,0.248
62,15,3,1458,0,0.243
63,15,4,1552,0,0.259
64,16,1,1447,0,0.241
65,16,2,1517,0,0.253
66,16,3,1555,0,0.259
67,16,4,1481,0,0.247
68,17,1,1490,0,0.248
69,17,2,1483,0,0.247
70,17,3,1549,0,0.258
71,17,4,1478,0,0.246
72,18,1,1529,0,0.255
73,18,2,1516,0,0.253
74,18,3,1472,0,0.245
75,18,4,1483,0,0.247
76,19,1,1502,0,0.25
77,19,2,1464,0,0.244
78,19,3,1518,0,0.253
79,19,4,1516,0,0.253
80,20,1,1499,0,0.25
81,20,2,1477,0,0.246
82,20,3,1511,0,0.252
83,20,4,1513,0,0.252
84,21,1,1523,0,0.254
85,21,2,1507,0,0.251
86,21,3,1523,0,0.254
87,21,4,1447,0,0.241
88,22,1,1485,0,0.248
89,22,2,1472,0,0.245
90,22,3,1505,0,0.251
91,22,4,1538,0,0.256
92,23,1,1489,0,0.248
93,23,2,1466,0,0.244
94,23,3,1501,0,0.25
95,23,4,1544,0,0.257
96,24,1,1484,0,0.247
97,24,2,1575,0,0.262
98,24,3,1472,0,0.245
99,24,4,1469,0,0.245
100,25,1,1524,0,0.254
101,25,2,1460,0,0.243
102,25,3,1533,0,0.256
103,25,4,1483,0,0.247
104,26,1,1563,0,0.26
105,26,2,1452,0,0.242
106,26,3,1477,0,0.246
107,26,4,1508,0,0.251
108,27,1,1505,0,0.251
109,27,2,1511,0,0.252
110,27,3,1540,0,0.257
111,27,4,1444,0,0.241
112,28,1,1501,0,0.25
113,28,2,1500,0,0.25
114,28,3,1506,0,0.251
115,28,4,1493,0,0.249
116,29,1,1488,0,0.248
117,29,2,1452,0,0.242
118,29,3,1522,0,0.254
