,subject,deck,counts,trial,proportion
0,0,1,1539,0,0.256
1,0,2,1446,0,0.241
2,0,3,1481,0,0.247
3,0,4,1534,0,0.256
4,1,1,1508,0,0.251
5,1,2,1485,0,0.248
6,1,3,1528,0,0.255
7,1,4,1479,0,0.246
8,2,1,1496,0,0.249
9,2,2,1485,0,0.248
10,2,3,1473,0,0.246
11,2,4,1546,0,0.258
12,3,1,1407,0,0.234
13,3,2,1529,0,0.255
14,3,3,1498,0,0.25
15,3,4,1566,0,0.261
16,4,1,1522,0,0.254
17,4,2,1513,0,0.252
18,4,3,1449,0,0.242
19,4,4,1516,0,0.253
20,5,1,1540,0,0.257
21,5,2,1388,0,0.231
22,5,3,1555,0,0.259
23,5,4,1517,0,0.253
24,6,1,1474,0,0.246
25,6,2,1506,0,0.251
26,6,3,1517,0,0.253
27,6,4,1503,0,0.25
28,7,1,1497,0,0.25
29,7,2,1498,0,0.25
30,7,3,1516,0,0.253
31,7,4,1489,0,0.248
32,8,1,1535,0,0.256
33,8,2,1535,0,0.256
34,8,3,1424,0,0.237
35,8,4,1506,0,0.251
36,9,1,1463,0,0.244
37,9,2,1492,0,0.249
38,9,3,1563,0,0.26
39,9,4,1482,0,0.247
40,10,1,1532,0,0.255
41,10,2,1478,0,0.246
42,10,3,1477,0,0.246
43,10,4,1513,0,0.252
44,11,1,1469,0,0.245
45,11,2,1483,0,0.247
46,11,3,1509,0,0.252
47,11,4,1539,0,0.256
48,12,1,1437,0,0.24
49,12,2,1533,0,0.256
50,12,3,1553,0,0.259
51,12,4,1477,0,0.246
52,13,1,1517,0,0.253
53,13,2,1514,0,0.252
54,13,3,1497,0,0.25
55,13,4,1472,0,0.245
56,14,1,1503,0,0.25
57,14,2,1545,0,0.258
58,14,3,1423,0,0.237
59,14,4,1529,0,0.255
60,15,1,1524,0,0.254
61,15,2,1481,0,0.247
62,15,3,1543,0,0.257
63,15,4,1452,0,0.242
64,16,1,1500,0,0.25
65,16,2,1540,0,0.257
66,16,3,1434,0,0.239
67,16,4,1526,0,0.254
68,17,1,1485,0,0.248
69,17,2,1559,0,0.26
70,17,3,1443,0,0.24
71,17,4,1513,0,0.252
72,18,1,1541,0,0.257
73,18,2,1466,0,0.244
74,18,3,1497,0,0.25
75,18,4,1496,0,0.249
76,19,1,1439,0,0.24
77,19,2,1555,0,0.259
78,19,3,1506,0,0.251
79,19,4,1500,0,0.25
80,20,1,1558,0,0.26
81,20,2,1484,0,0.247
82,20,3,1489,0,0.248
83,20,4,1469,0,0.245
84,21,1,1541,0,0.257
85,21,2,1497,0,0.25
86,21,3,1499,0,0.25
87,21,4,1463,0,0.244
88,22,1,1438,0,0.24
89,22,2,1514,0,0.252
90,22,3,1553,0,0.259
91,22,4,1495,0,0.249
92,23,1,1487,0,0.248
93,23,2,1479,0,0.246
94,23,3,1547,0,0.258
95,23,4,1487,0,0.248
96,24,1,1492,0,0.249
97,24,2,1513,0,0.252
98,24,3,1512,0,0.252
99,24,4,1483,0,0.247
100,25,1,1539,0,0.256
101,25,2,1478,0,0.246
102,25,3,1509,0,0.252
103,25,4,1474,0,0.246
104,26,1,1486,0,0.248
105,26,2,1513,0,0.252
106,26,3,1514,0,0.252
107,26,4,1487,0,0.248
108,27,1,1462,0,0.244
109,27,2,1494,0,0.249
110,27,3,1461,0,0.244
111,27,4,1583,0,0.264
112,28,1,1571,0,0.262
113,28,2,1499,0,0.25
114,28,3,1489,0,0.248
115,28,4,1441,0,0.24
116,29,1,1473,0,0.246
117,29,2,1492,0,0.249
118,29,3,1522,0,0.254
119,29,4,1513,0,0.252
120,30,1,1521,0,0.254
121,30,2,1547,0,0.258
122,30,3,1458,0,0.243
123,30,4,1474,0,0.246
124,31,1,1446,0,0.241
125,31,2,1565,0,0.261
126,31,3,1444,0,0.241
127,31,4,1545,0,0.258
128,32,1,1472,0,0.245
129,32,2,1492,0,0.249
130,32,3,1514,0,0.252
131,32,4,1522,0,0.254
132,33,1,1522,0,0.254
133,33,2,1498,0,0.25
134,33,3,1491,0,0.248
135,33,4,1489,0,0.248
136,34,1,1557,0,0.26
137,34,2,1478,0,0.246
138,34,3,1492,0,0.249
139,34,4,1473,0,0.246
140,35,1,1487,0,0.248
141,35,2,1484,0,0.247
142,35,3,1503,0,0.25
143,35,4,1526,0,0.254
144,36,1,1520,0,0.253
145,36,2,1500,0,0.25
146,36,3,1478,0,0.246
147,36,4,1502,0,0.25
148,37,1,1503,0,0.25
149,37,2,1527,0,0.254
150,37,3,1547,0,0.258
151,37,4,1423,0,0.237
152,38,1,1527,0,0.254
153,38,2,1546,0,0.258
154,38,3,1477,0,0.246
155,38,4,1450,0,0.242
156,39,1,1532,0,0.255
157,39,2,1533,0,0.256
158,39,3,1470,0,0.245
159,39,4,1465,0,0.244
160,40,1,1509,0,0.252
161,40,2,1525,0,0.254
162,40,3,1501,0,0.25
163,40,4,1465,0,0.244
164,41,1,1488,0,0.248
165,41,2,1524,0,0.254
166,41,3,1461,0,0.244
167,41,4,1527,0,0.254
168,42,1,1517,0,0.253
169,42,2,1486,0,0.248
170,42,3,1494,0,0.249
171,42,4,1503,0,0.25
172,0,1,1195,1,0.199
173,0,2,1182,1,0.197
174,0,3,2467,1,0.411
175,0,4,1156,1,0.193
176,1,1,1511,1,0.252
177,1,2,1383,1,0.23
178,1,3,1540,1,0.257
179,1,4,1566,1,0.261
180,2,1,743,1,0.124
181,2,2,3800,1,0.633
182,2,3,710,1,0.118
183,2,4,747,1,0.124
184,3,1,995,1,0.166
185,3,2,984,1,0.164
186,3,3,3031,1,0.505
187,3,4,990,1,0.165
188,4,1,1470,1,0.245
189,4,2,1585,1,0.264
190,4,3,1454,1,0.242
191,4,4,1491,1,0.248
192,5,1,1811,1,0.302
193,5,2,587,1,0.098
194,5,3,1830,1,0.305
195,5,4,1772,1,0.295
196,6,1,2791,1,0.465
197,6,2,1076,1,0.179
198,6,3,1025,1,0.171
199,6,4,1108,1,0.185
200,7,1,636,1,0.106
201,7,2,1732,1,0.289
202,7,3,1817,1,0.303
203,7,4,1815,1,0.302
204,8,1,1765,1,0.294
205,8,2,547,1,0.091
206,8,3,1832,1,0.305
207,8,4,1856,1,0.309
208,9,1,1284,1,0.214
209,9,2,1300,1,0.217
210,9,3,2181,1,0.364
211,9,4,1235,1,0.206
212,10,1,1637,1,0.273
213,10,2,1714,1,0.286
214,10,3,925,1,0.154
215,10,4,1724,1,0.287
216,11,1,1508,1,0.251
217,11,2,1419,1,0.236
218,11,3,1595,1,0.266
219,11,4,1478,1,0.246
220,12,1,941,1,0.157
221,12,2,3204,1,0.534
222,12,3,952,1,0.159
223,12,4,903,1,0.15
224,13,1,557,1,0.093
225,13,2,4332,1,0.722
226,13,3,564,1,0.094
227,13,4,547,1,0.091
228,14,1,4751,1,0.792
229,14,2,386,1,0.064
230,14,3,398,1,0.066
231,14,4,465,1,0.078
232,15,1,555,1,0.092
233,15,2,4230,1,0.705
234,15,3,613,1,0.102
235,15,4,602,1,0.1
236,16,1,2577,1,0.43
237,16,2,1130,1,0.188
238,16,3,1150,1,0.192
239,16,4,1143,1,0.19
240,17,1,1545,1,0.258
241,17,2,1479,1,0.246
242,17,3,1496,1,0.249
243,17,4,1480,1,0.247
244,18,1,1646,1,0.274
245,18,2,1625,1,0.271
246,18,3,1646,1,0.274
247,18,4,1083,1,0.18
248,19,1,3374,1,0.562
249,19,2,842,1,0.14
250,19,3,896,1,0.149
251,19,4,888,1,0.148
252,20,1,1004,1,0.167
253,20,2,1010,1,0.168
254,20,3,986,1,0.164
255,20,4,3000,1,0.5
256,21,1,1880,1,0.313
257,21,2,1809,1,0.302
258,21,3,564,1,0.094
259,21,4,1747,1,0.291
260,22,1,825,1,0.138
261,22,2,828,1,0.138
262,22,3,3552,1,0.592
263,22,4,795,1,0.132
264,23,1,1773,1,0.296
265,23,2,1791,1,0.298
266,23,3,654,1,0.109
267,23,4,1782,1,0.297
268,24,1,1255,1,0.209
