,subject,deck,counts,trial,proportion
0,0,1,1460,0,0.243
1,0,2,1552,0,0.259
2,0,3,1481,0,0.247
3,0,4,1507,0,0.251
4,1,1,1481,0,0.247
5,1,2,1480,0,0.247
6,1,3,1538,0,0.256
7,1,4,1501,0,0.25
8,2,1,1465,0,0.244
9,2,2,1487,0,0.248
10,2,3,1521,0,0.254
11,2,4,1527,0,0.254
12,3,1,1495,0,0.249
13,3,2,1502,0,0.25
14,3,3,1499,0,0.25
15,3,4,1504,0,0.251
16,4,1,1464,0,0.244
17,4,2,1532,0,0.255
18,4,3,1487,0,0.248
19,4,4,1517,0,0.253
20,5,1,1499,0,0.25
21,5,2,1519,0,0.253
22,5,3,1471,0,0.245
23,5,4,1511,0,0.252
24,6,1,1462,0,0.244
25,6,2,1506,0,0.251
26,6,3,1516,0,0.253
27,6,4,1516,0,0.253
28,7,1,1493,0,0.249
29,7,2,1482,0,0.247
30,7,3,1519,0,0.253
31,7,4,1506,0,0.251
32,8,1,1498,0,0.25
33,8,2,1504,0,0.251
34,8,3,1502,0,0.25
35,8,4,1496,0,0.249
36,9,1,1518,0,0.253
37,9,2,1487,0,0.248
38,9,3,1539,0,0.256
39,9,4,1456,0,0.243
40,10,1,1510,0,0.252
41,10,2,1535,0,0.256
42,10,3,1462,0,0.244
43,10,4,1493,0,0.249
44,11,1,1480,0,0.247
45,11,2,1520,0,0.253
46,11,3,1489,0,0.248
47,11,4,1511,0,0.252
48,12,1,1481,0,0.247
49,12,2,1468,0,0.245
50,12,3,1533,0,0.256
51,12,4,1518,0,0.253
52,13,1,1554,0,0.259
53,13,2,1514,0,0.252
54,13,3,1458,0,0.243
55,13,4,1474,0,0.246
56,14,1,1493,0,0.249
57,14,2,1536,0,0.256
58,14,3,1509,0,0.252
59,14,4,1462,0,0.244
60,15,1,1482,0,0.247
61,15,2,1442,0,0.24
62,15,3,1529,0,0.255
63,15,4,1547,0,0.258
64,16,1,1472,0,0.245
65,16,2,1540,0,0.257
66,16,3,1518,0,0.253
67,16,4,1470,0,0.245
68,17,1,1523,0,0.254
69,17,2,1451,0,0.242
70,17,3,1538,0,0.256
71,17,4,1488,0,0.248
72,18,1,1419,0,0.236
73,18,2,1520,0,0.253
74,18,3,1532,0,0.255
75,18,4,1529,0,0.255
76,19,1,1445,0,0.241
77,19,2,1489,0,0.248
78,19,3,1583,0,0.264
79,19,4,1483,0,0.247
80,20,1,1507,0,0.251
81,20,2,1511,0,0.252
82,20,3,1494,0,0.249
83,20,4,1488,0,0.248
84,21,1,1490,0,0.248
85,21,2,1538,0,0.256
86,21,3,1467,0,0.244
87,21,4,1505,0,0.251
