Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu_p[0]        -0.34    0.02   0.71   -1.8  -0.77  -0.33   0.08   1.15   1409    1.0
mu_p[1]        -1.26    0.02   0.45  -2.11  -1.49  -1.26  -1.05  -0.43    652    1.0
mu_p[2]        -2.29    0.01   0.21  -2.75  -2.41  -2.28  -2.15  -1.86    325    1.0
mu_p[3]        -0.24  4.6e-3   0.18  -0.61  -0.35  -0.22  -0.11   0.09   1486    1.0
mu_p[4]        -1.64    0.07   2.11  -6.92  -2.36  -1.17  -0.39    1.1    896    1.0
mu_p[5]         -4.7     0.1   3.51 -13.67  -6.26  -3.81   -2.2  -0.62   1206    1.0
mu_p[6]         1.87    0.02   0.37   1.08   1.65    1.9   2.12   2.52    412    1.0
mu_p[7]        -0.37  8.7e-3   0.17  -0.65  -0.48   -0.4   -0.3   0.05    381    1.0
sig[0]          3.72    0.21   4.84   0.94   1.77   2.58   3.94  14.09    511    1.0
sig[1]          1.89     0.2   3.64   0.58   0.94   1.25   1.74   6.14    340   1.01
sig[2]          0.37    0.01   0.12   0.16   0.29   0.35   0.43   0.68    122   1.03
sig[3]          0.75  5.9e-3    0.2   0.41   0.61   0.73   0.87   1.21   1217    1.0
sig[4]          8.14    0.19   6.51   1.44   3.95   6.51  10.27  24.53   1190    1.0
sig[5]          8.62    0.19   6.74   1.46   4.16   6.83   11.1  26.24   1256    1.0
sig[6]          0.13  7.3e-3    0.1 5.9e-3   0.06   0.12   0.19   0.38    202   1.01
sig[7]          0.09  3.9e-3   0.06 4.5e-3   0.04   0.08   0.13   0.24    270    1.0
alpha_r[0]   -9.4e-3    0.01   0.97  -1.92  -0.64-3.7e-3   0.64   1.93   6000    1.0
alpha_r[1]     -0.47    0.01   0.86   -2.2  -1.02  -0.45   0.05   1.31   3501    1.0
alpha_r[2]     -1.12    0.01   0.64  -2.51  -1.52  -1.07  -0.66  -0.05   2689    1.0
