Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu_p[0]         0.14    0.02    0.7  -1.31  -0.28   0.11   0.57   1.58    951    1.0
mu_p[1]        -1.07    0.02   0.35  -1.78  -1.26  -1.06  -0.88  -0.37    513    1.0
mu_p[2]        -2.47    0.02   0.26  -2.96  -2.63  -2.47  -2.31  -1.94    273   1.02
mu_p[3]        -0.03  3.4e-3   0.15  -0.35  -0.12  -0.02   0.07   0.25   1892    1.0
mu_p[4]         0.03    0.07   1.48   -2.9   -0.5 9.0e-3    0.6   2.96    402   1.01
mu_p[5]        -5.35    0.23   3.89 -15.46  -7.13  -4.36   -2.6  -0.66    285   1.01
mu_p[6]         1.91    0.04   0.42    0.9   1.67   1.94   2.19   2.65     94   1.05
mu_p[7]        -0.32    0.02   0.25  -0.76  -0.48  -0.32  -0.18    0.2    272   1.02
sig[0]          4.21     1.1    9.8    0.8   1.61   2.28   3.54  17.13     80   1.03
sig[1]          1.37    0.08   1.81   0.43   0.74    1.0   1.48   4.25    516   1.01
sig[2]          0.43  5.3e-3   0.13   0.21   0.34   0.41   0.49   0.75    622   1.01
sig[3]          0.74  3.7e-3   0.14   0.51   0.64   0.73   0.82   1.07   1462   1.01
sig[4]          7.18    0.34   7.93   0.82   3.44   5.65   9.02  22.05    530   1.01
sig[5]          8.61    0.46   9.44   0.93   4.14   6.83  10.88  25.38    419   1.01
sig[6]          0.14  5.1e-3   0.09 6.7e-3   0.07   0.14    0.2   0.34    323   1.01
sig[7]          0.15  5.3e-3   0.08   0.01   0.08   0.15    0.2    0.3    211   1.01
alpha_r[0]      0.12    0.05   0.99  -1.86  -0.57   0.15   0.81   1.94    478   1.01
alpha_r[1]      0.45    0.07   1.05  -1.73  -0.21   0.51   1.13   2.37    248   1.01
alpha_r[2]     -0.95    0.03   0.66  -2.44  -1.36  -0.88  -0.49   0.11    422    1.0
alpha_r[3]      0.66    0.05    1.0  -1.61   0.14   0.76   1.32    2.3    341   1.01
alpha_r[4]       0.2    0.01   0.95  -1.78  -0.41   0.26   0.78   2.04   6000    1.0
alpha_r[5]     -0.09    0.02   0.79  -1.86  -0.47  -0.05    0.3   1.54   1870    1.0
alpha_r[6]      0.07    0.02   0.84  -1.66   -0.4   0.01   0.56   1.88   2146    1.0
alpha_r[7]     -0.01    0.01   0.97  -1.93  -0.63  -0.03   0.64    1.9   6000    1.0
alpha_r[8]      0.04    0.05   0.97  -1.86  -0.59   0.03   0.68   1.91    380   1.01
alpha_r[9]     -0.68    0.01   0.78  -2.27  -1.14  -0.65  -0.22   1.01   4070    1.0
alpha_r[10]    -0.51    0.01   0.92   -2.2   -1.1  -0.58  -0.04   1.58   6000    1.0
alpha_r[11]     0.12    0.03   1.04  -1.87  -0.71    0.2   0.85   2.12   1121    1.0
alpha_r[12]     0.01    0.01   0.96  -1.86  -0.58  -0.02   0.63   1.93   6000    1.0
alpha_r[13]    -0.05    0.01   0.93  -1.94  -0.61  -0.04   0.52   1.82   4036    1.0
alpha_r[14]     0.26    0.01   0.96  -1.81  -0.32   0.29   0.89   2.08   6000    1.0
alpha_r[15]    -0.27    0.05   0.94  -2.04  -0.89  -0.32   0.31   1.65    409   1.01
