Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu_p[0]         0.19    0.01   0.57  -0.87  -0.16   0.15   0.51   1.45   3100    1.0
mu_p[1]        -2.74    0.02   0.56  -3.83  -3.08  -2.75  -2.43  -1.52    657   1.01
mu_p[2]        -1.57    0.01   0.35  -2.23  -1.79  -1.57  -1.34  -0.88    853   1.01
mu_p[3]        -0.43  4.8e-3   0.21  -0.91  -0.56  -0.42  -0.29  -0.07   1899    1.0
mu_p[4]         0.63    0.07   2.63  -4.26  -0.53   0.37    1.5   7.01   1468    1.0
mu_p[5]        -2.42    0.07   2.79  -9.96  -3.37  -1.69  -0.69   1.08   1810    1.0
mu_p[6]         1.59    0.01   0.38   0.81   1.34    1.6   1.85   2.29   1423    1.0
mu_p[7]        -0.77  3.1e-3   0.08  -0.94  -0.82  -0.77  -0.72  -0.61    716   1.01
sig[0]          2.51    0.08    2.2   0.45   1.27   1.97   3.03   7.91    743    1.0
sig[1]          1.74    0.17   3.24   0.04   0.39   1.09   1.95   7.99    376    1.0
sig[2]          1.45    0.01   0.35    0.9   1.21   1.41   1.64   2.26    894   1.01
sig[3]          0.85  4.3e-3    0.2   0.54   0.71   0.83   0.96   1.31   2094    1.0
sig[4]         13.77    0.35  13.89   2.23   5.72   9.63  16.79  49.95   1585    1.0
sig[5]         11.05    0.29  11.45   1.73   4.64   7.72  13.13  40.48   1584    1.0
sig[6]           0.1  2.2e-3   0.08 5.0e-3   0.04   0.09   0.15   0.29   1246    1.0
sig[7]          0.22  1.7e-3   0.05   0.13   0.18   0.22   0.26   0.34   1032   1.01
alpha_r[0]     -0.22 10.0e-3   0.62  -1.47  -0.54  -0.22   0.07   1.24   3921    1.0
alpha_r[1]       0.2    0.01    0.9  -1.62  -0.35    0.2   0.76   1.99   6000    1.0
alpha_r[2]     -0.03    0.01    1.0  -2.02  -0.68  -0.05   0.61   1.97   6000    1.0
alpha_r[3]     -0.42    0.01   0.95  -2.12  -1.06  -0.48   0.14   1.66   6000    1.0
alpha_r[4]      0.08    0.01   0.99  -1.89  -0.57   0.08   0.75   1.97   6000    1.0
alpha_r[5]      0.41    0.01   0.84  -1.35   -0.1    0.4   0.94   2.11   6000    1.0
alpha_r[6]      0.02    0.01   0.99  -1.95  -0.63   0.03   0.69   2.03   6000    1.0
alpha_r[7]      0.29    0.01   0.78  -1.28  -0.18   0.25   0.77   1.89   6000    1.0
alpha_r[8]     -0.37    0.01   0.49  -1.48  -0.61  -0.32  -0.09   0.51   1709    1.0
alpha_r[9]     -0.14    0.01   0.98  -2.08   -0.8  -0.16   0.52   1.85   6000    1.0
alpha_r[10]     0.67 10.0e-3   0.77  -0.86   0.18   0.62   1.15   2.28   6000    1.0
alpha_r[11]     0.55  9.7e-3   0.75  -0.82   0.06   0.49   1.01   2.14   6000    1.0
alpha_r[12]    -0.05    0.01   0.96  -1.89  -0.68  -0.06   0.56   1.91   6000    1.0
alpha_r[13]    -0.16    0.03   0.98   -2.1  -0.82  -0.17   0.46   1.78   1058    1.0
alpha_r[14]     0.18    0.01   0.93  -1.76  -0.38   0.22   0.78   1.94   6000    1.0
alpha_r[15]     0.07    0.01   0.97   -1.9  -0.54   0.09    0.7   1.95   6000    1.0
alpha_r[16]    -1.01    0.01   0.78  -2.49  -1.48  -1.02  -0.57   0.77   2710    1.0
