Inference for Stan model: wsls_6_model_303fcf1696c87ab69f6dd8fb0117ba09.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu_p[0]          -0.5    0.02   0.69   -1.8  -0.89  -0.54  -0.19   1.24   1322    1.0
mu_p[1]          1.45    0.01   0.39   0.81   1.18   1.41   1.67   2.36   1501    1.0
mu_p[2]          0.14    0.04   1.09  -2.39  -0.45   0.21   0.88   2.09    924    1.0
mu_p[3]         -2.11  8.3e-3    0.2   -2.5  -2.24  -2.11  -1.98  -1.71    572    1.0
mu_p[4]         -0.58    0.01   0.35  -1.19  -0.73  -0.59  -0.45   0.02    642    1.0
mu_p[5]          0.16  8.1e-3   0.29  -0.54   0.02   0.19   0.36   0.61   1279    1.0
sig[0]          12.73    4.88 120.62   0.05   0.39   0.82   2.73  47.35    612    1.0
sig[1]           1.69    0.01   0.54   0.98   1.32   1.58   1.94   3.01   1290    1.0
sig[2]          11.65    1.98   48.6   0.08   0.98   2.34   6.57  81.22    605    1.0
sig[3]           0.44  5.0e-3   0.15   0.17   0.34   0.43   0.53   0.76    864    1.0
sig[4]           0.48    0.13   6.16 3.1e-3   0.04   0.08   0.16   0.89   2300    1.0
sig[5]           1.12    0.02   0.53   0.66   0.86    1.0   1.23   2.31    893   1.01
ws_init_r[0]     0.19    0.01   0.97  -1.79  -0.41   0.22   0.81   2.07   6000    1.0
ws_init_r[1]     0.67    0.02   0.95  -1.39   0.11   0.72    1.3    2.4   3460    1.0
ws_init_r[2]    -0.15    0.01   0.94   -1.9  -0.78  -0.17   0.46   1.77   6000    1.0
ws_init_r[3]     0.25    0.01   0.95  -1.71  -0.36   0.29    0.9   2.02   6000    1.0
ws_init_r[4]  -1.6e-4    0.01   0.96   -1.9  -0.64  -0.02   0.65   1.94   6000    1.0
ws_init_r[5]     0.12    0.01   0.97   -1.8  -0.52   0.15   0.78    2.0   6000    1.0
ws_init_r[6]     0.18    0.01   0.96  -1.76  -0.44   0.21   0.81   2.03   6000    1.0
ws_init_r[7]     0.19    0.01   0.95  -1.72  -0.43   0.21   0.82   2.02   6000    1.0
ws_init_r[8]    -0.38    0.01   0.97   -2.2  -1.01  -0.42   0.22   1.66   6000    1.0
ws_init_r[9]     0.39    0.01   0.96  -1.61   -0.2   0.44   1.02   2.17   6000    1.0
ws_init_r[10]    0.38    0.01   0.93  -1.57  -0.19   0.42   0.99   2.11   6000    1.0
ws_init_r[11]   -0.21    0.01   0.96  -2.06  -0.85  -0.25   0.43   1.73   6000    1.0
ws_init_r[12]   -0.24    0.01   0.97  -2.06  -0.88  -0.27   0.37   1.79   6000    1.0
ws_init_r[13]    0.25    0.01   0.95  -1.71  -0.37   0.29   0.88   2.08   6000    1.0
ws_init_r[14]    -0.2    0.01   0.94  -2.03  -0.83  -0.24   0.41   1.71   6000    1.0
ws_init_r[15]    0.05    0.01   0.97  -1.92  -0.56   0.09   0.69   1.95   6000    1.0
ws_init_r[16]   -0.14    0.01   0.96  -1.95  -0.78  -0.15   0.49    1.8   6000    1.0
ws_init_r[17]   -0.07    0.01   0.96  -1.97  -0.68  -0.07   0.55   1.82   6000    1.0
ws_init_r[18]   -0.08    0.01   0.94  -1.87  -0.72  -0.09   0.57   1.77   6000    1.0
ws_init_r[19]   -0.12    0.01   0.95  -1.92  -0.75  -0.13    0.5   1.82   6000    1.0
ws_init_r[20]   -0.24    0.01   0.98  -2.13  -0.87  -0.27   0.39   1.74   6000    1.0
ws_init_r[21]    0.19    0.01   0.96  -1.78  -0.43   0.23   0.81   2.04   6000    1.0
ws_init_r[22]   -0.23    0.01   0.94  -2.05  -0.84  -0.25   0.37   1.79   6000    1.0
ws_init_r[23]    -0.2    0.01    1.0   -2.1  -0.87  -0.22   0.46   1.82   6000    1.0
ws_init_r[24]   -0.39    0.01   0.97  -2.24  -1.03  -0.43   0.22   1.69   6000    1.0
ws_init_r[25]    0.17    0.01   0.97  -1.77  -0.45   0.19   0.81   2.11   6000    1.0
ws_init_r[26]   -0.16    0.01   0.92  -1.93  -0.78  -0.18   0.43   1.68   6000    1.0
ws_init_r[27]   -0.26    0.01   0.98  -2.13  -0.91   -0.3   0.39   1.71   6000    1.0
ws_init_r[28]    -0.1    0.01   0.97   -2.0  -0.76  -0.12   0.53   1.91   6000    1.0
ws_init_r[29]    0.08    0.01   0.96  -1.83  -0.55   0.09   0.72   1.91   6000    1.0
ws_init_r[30]   -0.19    0.01   0.98   -2.1  -0.83  -0.22   0.45   1.81   6000    1.0
ws_init_r[31]    0.03    0.01   0.96  -1.89  -0.62   0.07    0.7   1.86   6000    1.0
ws_init_r[32]    0.06    0.01   0.97  -1.86   -0.6   0.08    0.7   1.95   6000    1.0
ws_init_r[33]   -0.31    0.01   0.95   -2.1  -0.95  -0.34    0.3   1.62   6000    1.0
ws_init_r[34]   -0.55    0.02   0.99  -2.44  -1.21  -0.61   0.03   1.58   2811    1.0
ws_init_r[35]   -0.04    0.01   0.95  -1.93  -0.65  -0.03   0.59   1.87   6000    1.0
ws_init_r[36]   -0.15    0.01   0.96  -2.01  -0.77  -0.16   0.48   1.78   6000    1.0
ws_init_r[37]    0.57    0.02   0.95  -1.51   0.02   0.63   1.23   2.27   2636    1.0
ls_init_r[0]    -0.58    0.01    0.6  -1.41  -0.95  -0.69  -0.38    1.2   1740    1.0
ls_init_r[1]     -1.1  8.3e-3   0.39  -2.01  -1.32  -1.06  -0.85  -0.45   2236    1.0
ls_init_r[2]     0.66    0.01   0.67  -0.35   0.16   0.54   1.04   2.23   4053    1.0
ls_init_r[3]    -0.18  9.9e-3   0.48  -0.92  -0.47  -0.25 2.7e-3   1.08   2364    1.0
ls_init_r[4]    -1.22 10.0e-3   0.42  -2.08  -1.45  -1.19  -0.97  -0.54   1757    1.0
ls_init_r[5]    -0.65  8.2e-3   0.38  -1.46  -0.88  -0.62   -0.4   0.03   2212    1.0
ls_init_r[6]     0.03    0.01   0.59  -0.74  -0.35  -0.11   0.22   1.72   2764    1.0
ls_init_r[7]    -1.99  9.5e-3   0.54  -3.16  -2.33  -1.95  -1.61  -1.07   3152    1.0
ls_init_r[8]     0.25    0.01   0.58  -0.61  -0.13   0.14   0.48   1.72   2173    1.0
ls_init_r[9]    -0.56  9.8e-3   0.41  -1.22   -0.8  -0.59  -0.38   0.43   1784    1.0
