Inference for Stan model: wsls_6_model_303fcf1696c87ab69f6dd8fb0117ba09.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu_p[0]         -1.12    0.02   0.45   -2.1  -1.37  -1.09  -0.84  -0.26    745    1.0
mu_p[1]          0.76  5.7e-3   0.15   0.49   0.66   0.76   0.86   1.08    678   1.01
mu_p[2]         -0.27    0.02   0.95  -2.11   -0.9  -0.29   0.34   1.63   1560    1.0
mu_p[3]         -2.47  4.7e-3   0.11  -2.67  -2.54  -2.47   -2.4  -2.24    527    1.0
mu_p[4]          0.09    0.01   0.23  -0.33  -0.04   0.08   0.19   0.57    282    1.0
mu_p[5]         -0.22    0.03   0.79  -1.83  -0.72  -0.18   0.29   1.33    695   1.01
sig[0]           1.17    0.08   1.88   0.09   0.56   0.88   1.32    3.7    583    1.0
sig[1]           0.86  3.7e-3   0.13   0.64   0.77   0.85   0.94   1.16   1300    1.0
sig[2]          36.84    13.2 136.52   1.25   3.41   6.34  14.74 329.31    107   1.02
sig[3]           0.33  2.4e-3   0.08   0.19   0.27   0.32   0.38   0.53   1204    1.0
sig[4]           0.15    0.02   0.71 4.1e-3   0.04   0.09   0.17   0.51   1058    1.0
sig[5]          12.58    1.85  21.87   1.57   3.43   5.93  11.77  75.05    140   1.02
ws_init_r[0]     0.23    0.02   0.99  -1.77  -0.44   0.28   0.92   2.06   2251    1.0
ws_init_r[1]    -0.18    0.02   0.78   -1.8  -0.67  -0.16    0.3   1.39   1128    1.0
ws_init_r[2]     0.24    0.02    1.0  -1.86  -0.41   0.29   0.95    2.1   2570    1.0
ws_init_r[3]    -0.16    0.02   0.82  -1.87  -0.68  -0.14   0.35   1.49   1853    1.0
ws_init_r[4]     0.14    0.02   0.97  -1.92  -0.49    0.2   0.82   1.95   2687    1.0
ws_init_r[5]    -0.69    0.03   0.84  -2.25  -1.22  -0.73  -0.18   1.25    581    1.0
ws_init_r[6]     0.01    0.02   0.88  -1.82  -0.51   0.03   0.58   1.72   1560    1.0
ws_init_r[7]   6.0e-4    0.03   0.79  -1.72  -0.43   0.04   0.49   1.51    769    1.0
ws_init_r[8]    -0.63    0.02   0.83  -2.31  -1.17  -0.62  -0.11   1.04   1352    1.0
ws_init_r[9]     0.17    0.02   0.91  -1.75   -0.4   0.22   0.78   1.89   1701    1.0
ws_init_r[10]   -0.81    0.03   0.81  -2.43  -1.32   -0.8   -0.3    0.8    699    1.0
ws_init_r[11]   -0.16    0.03   0.84   -1.9  -0.68  -0.14   0.32   1.71    853    1.0
ws_init_r[12]    0.19    0.02   0.93  -1.77  -0.37   0.26   0.78   1.92   3750    1.0
ws_init_r[13]    0.42    0.04   1.15  -1.95  -0.37   0.49   1.24   2.48    994    1.0
ws_init_r[14]    0.14    0.02   0.99  -1.89   -0.5    0.2   0.79    2.0   1761    1.0
ws_init_r[15]    0.35    0.03   1.06  -1.78  -0.38    0.4   1.12   2.25   1396    1.0
ws_init_r[16]    0.07    0.03   0.94  -1.83  -0.55   0.13   0.69   1.88    829    1.0
ws_init_r[17]    0.12    0.02   0.88  -1.74  -0.44   0.18    0.7   1.79   2835    1.0
ws_init_r[18]    0.09    0.01   0.86  -1.64  -0.44    0.1   0.63   1.78   3326    1.0
ws_init_r[19]    0.13    0.02   0.96  -1.84  -0.52   0.18   0.79    1.9   3531    1.0
ws_init_r[20]     0.1    0.01   0.98  -1.91  -0.56   0.15   0.81   1.93   6000    1.0
ws_init_r[21]   -0.54    0.02   0.83  -2.18  -1.05  -0.54 2.5e-3   1.15   2036    1.0
ws_init_r[22]    0.28    0.02    1.0  -1.77  -0.42   0.34   1.01   2.08   1790    1.0
ws_init_r[23]   -0.38    0.01   0.87  -2.03  -0.96  -0.39   0.19   1.35   6000    1.0
ws_init_r[24]    0.18    0.02   0.98  -1.89  -0.47   0.24   0.85   1.99   1551    1.0
ws_init_r[25]   -0.26    0.02   0.78  -1.87  -0.72  -0.26   0.23   1.29   1735    1.0
ws_init_r[26]    0.11    0.02   0.99  -1.88  -0.56   0.15    0.8   1.94   1605    1.0
ws_init_r[27]     0.2    0.02   1.03  -1.87  -0.49   0.25   0.92   2.12   2227    1.0
