Inference for Stan model: wsls_r_model_f1486bb6abe54d2253b4515ef3604cc9.
3 chains, each with iter=7000; warmup=5000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu_p[0]          -0.6    0.37   0.53  -1.32  -1.17  -0.44  -0.43   0.54      2   2.16
mu_p[1]         -1.31    0.06   0.12  -1.58  -1.39   -1.3  -1.23  -1.06      5   1.16
mu_p[2]          6.49    7.29  12.62 -17.01  -4.24    8.5   19.1   20.9      3    1.9
mu_p[3]         -2.06    0.19   0.47  -2.94  -2.27  -2.16  -1.76  -1.03      6   1.47
mu_p[4]          1.57     0.4   0.57   0.31   1.13   1.76   2.09   2.09      2   2.64
mu_p[5]         -6.22    1.16   2.83 -10.97  -7.53  -6.66  -6.31   1.39      6   1.14
mu_p[6]          -0.5    0.18   0.59  -1.47  -0.76  -0.55  -0.45   1.15     11   1.12
mu_p[7]          0.53    0.11   0.63  -1.17   0.38   0.63   0.71   1.71     32   1.08
mu_p[8]         -1.48    0.65   0.92  -2.39  -2.21  -1.55  -1.54    1.1      2   1.51
mu_p[9]          0.25    0.47   0.82  -1.66   0.05   0.07    0.8   1.86      3   1.47
mu_p[10]        -0.94    0.46   0.65  -2.18  -1.55  -0.61   -0.6   0.06      2   2.29
mu_p[11]          1.9    0.21   0.42   0.83    1.8   2.07   2.13   2.39      4   1.26
mu_p[12]        -0.32    0.11   0.16  -0.65  -0.45  -0.24   -0.2  -0.11      2   2.54
sig[0]           2.03    0.46   0.65   1.15   1.34   1.99   2.73   2.77      2   2.52
sig[1]           0.28    0.11   0.16   0.07    0.2   0.22   0.37   0.67      2   1.92
sig[2]          57.98   34.29 2552.4   0.03   1.03   6.52  45.15  49.61   5542    1.0
sig[3]           2.56    0.57   0.81   1.04   2.18    2.4   3.09   4.17      2   2.19
sig[4]           0.86    0.53   0.74   0.19    0.3   0.45   1.57   2.48      2    3.5
sig[5]           8.84    8.58  12.14   1.02   1.03   1.95  16.56  39.13      2   2.09
sig[6]           8.35    4.88  27.19   0.89   2.84   5.24   5.36  39.32     31   1.03
sig[7]           6.82    6.54  26.15   0.75    1.4   1.75   4.28  39.22     16   1.04
sig[8]           3.78    2.73   19.3   0.06   0.25   1.32   1.34  21.34     50   1.04
sig[9]           4.45    1.87   6.49   0.38   1.68   3.79   5.19  17.21     12   1.09
sig[10]          1.26    0.49   8.64   0.05   0.06   0.43   0.99   5.02    317   1.01
sig[11]          1.42    0.34   0.83   0.07   1.16   1.61   1.65   2.33      6   1.15
sig[12]          0.56    0.23   0.33   0.02   0.25   0.61   0.83    1.1      2   4.11
alpha_r[0]      -0.35    0.13   0.34  -1.15  -0.35  -0.34  -0.19   0.21      7   1.13
alpha_r[1]      -0.68    0.28   0.63  -1.88  -1.11  -0.55  -0.39   0.79      5   1.14
alpha_r[2]       1.73     0.3   0.51   0.59   1.65   1.68   2.07   2.52      3   1.32
alpha_r[3]       0.01    0.38   0.54  -0.96  -0.23  -0.23   0.51   0.93      2    2.1
alpha_r[4]      -0.97    0.47   0.81  -1.96  -1.62  -1.13  -0.53   1.18      3   1.43
alpha_r[5]       0.82    0.59   0.84  -0.86   0.61   0.63   1.56   2.18      2    1.8
alpha_r[6]      -0.12     0.3   0.43  -1.13  -0.21  -0.13   0.21   0.49      2   1.51
alpha_r[7]      -0.19    0.53   0.75  -0.79  -0.78   -0.5   0.15   1.78      2   1.94
alpha_r[8]       0.37    0.52   0.91  -1.68  -0.33   0.71   1.08   1.62      3   1.79
alpha_r[9]       0.24    0.67   0.95  -1.18  -0.69   0.54   1.05   1.74      2   1.66
alpha_r[10]     -0.07    0.55   0.78  -0.89  -0.88   -0.1   0.32   1.73      2    1.9
alpha_r[11]     -0.32    0.21   0.43  -1.14  -0.46  -0.46-9.0e-3   0.41      4   1.28
alpha_r[12]      1.29    0.34   0.59   0.45   0.79   1.26   1.75    2.3      3   1.47
alpha_r[13]      1.99    0.46   0.65    0.7   1.79   1.86   2.37   3.23      2   1.83
alpha_r[14]     -0.36    0.27   0.61  -1.51  -0.73  -0.24  -0.14   1.13      5   1.18
alpha_r[15]     -0.89    0.06   0.57  -2.14  -1.09  -0.84  -0.72   0.57    106   1.03
alpha_r[16]     -0.26    0.46   0.79  -1.47  -0.59  -0.56   0.19    1.7      3   1.48
alpha_r[17]     -0.39    0.05   0.53  -1.54  -0.44  -0.42  -0.21   0.97    131   1.04
alpha_r[18]      0.39    0.48   0.82  -1.04  -0.35    0.8   0.89   1.96      3   1.42
alpha_r[19]     -0.21    0.09   0.49  -1.07  -0.37  -0.36  -0.03   1.18     27   1.06
alpha_r[20]      0.17    0.53   0.75  -1.35  -0.24   0.02    0.8   1.45      2   1.81
alpha_r[21]      0.26     0.6   0.85  -1.31  -0.46   0.61   0.63   2.01      2   1.62
alpha_r[22]     -0.24    0.34    0.6  -1.44  -0.47  -0.46   0.24   0.84      3   1.39
alpha_r[23]      0.22    0.28   0.48  -0.42  -0.12   0.17   0.31   1.52      3   1.27
alpha_r[24]     -0.54    0.02    0.6  -1.78   -0.7  -0.55  -0.53   1.18    798   1.01
alpha_r[25]     -0.46    0.29    0.5   -1.6  -0.59  -0.58  -0.08   0.15      3   1.33
alpha_r[26]     -0.62    0.13   0.29  -1.21  -0.79  -0.64  -0.41  -0.15      5   1.21
alpha_r[27]     -0.57    0.22   0.38  -1.39  -0.65  -0.62  -0.31 6.8e-3      3   1.54
alpha_r[28]      0.01    0.76   1.08  -1.26  -1.25    0.1   0.81   2.13      2   1.92
alpha_r[29]     -0.86    0.45   0.63  -2.04  -1.35  -0.72  -0.58   0.33      2   2.06
alpha_r[30]     -0.66    0.11   0.22  -1.23   -0.8  -0.63  -0.48  -0.35      4   1.29
alpha_r[31]      0.93    0.32   0.65  -0.45   0.59   0.69   1.46   2.13      4   1.29
alpha_r[32]     -0.46    0.29   0.77  -2.16  -0.92  -0.21  -0.03   1.09      7   1.11
alpha_r[33]      0.29    0.72   1.01  -1.38  -0.77   0.72   1.11   1.79      2   1.86
alpha_r[34]      0.39    0.29    0.5  -0.35  -0.02   0.43   0.67   1.62      3   1.28
alpha_r[35]     -0.73    0.05    0.3  -1.29  -0.89  -0.68  -0.68  -0.07     30   1.05
alpha_r[36]      -1.1    0.44   0.76  -1.92  -1.76   -1.1  -0.72   0.92      3   1.34
alpha_r[37]      0.35    0.51   0.73  -0.66  -0.16   0.02   1.23   1.52      2   5.26
alpha_r[38]     -0.24    0.61   0.86   -1.4  -0.78  -0.72   0.34   1.79      2   1.63
alpha_r[39]      -0.6    0.04   0.35  -1.22  -0.71  -0.57  -0.52   0.08     67   1.03
alpha_r[40]      -1.0    0.55   0.78  -2.47  -1.32  -1.08  -0.74   0.94      2   1.61
alpha_r[41]       1.2    0.56    0.8   0.06   0.65   0.67   2.06   2.51      2   2.22
alpha_r[42]     -0.88    0.08   0.37  -1.45  -1.11  -0.79  -0.77   0.01     19   1.11
alpha_r[43]      1.14    0.52   0.73   0.15   0.56   0.83   1.77   2.58      2   1.84
alpha_r[44]     -0.73    0.48   0.84  -1.87  -1.07  -1.01  -0.44   1.51      3   1.37
alpha_r[45]     -0.56    0.13   0.41  -1.15  -0.78  -0.72  -0.38   0.28     10   1.24
alpha_r[46]     -0.23    0.15   0.27  -0.85  -0.35  -0.17  -0.13   0.29      3   1.36
alpha_r[47]     -0.57    0.82   1.16  -2.61  -0.97  -0.95   0.32   1.82      2   2.65
gamma_r[0]      -0.23    0.08   0.58  -1.27  -0.49  -0.26  -0.18   1.37     53   1.04
gamma_r[1]       0.23    0.41   0.81   -1.8  -0.13   0.58   0.72   1.36      4   1.22
gamma_r[2]      -0.11    0.44   0.63  -0.88  -0.71  -0.18   0.44   1.03      2    1.9
gamma_r[3]      -0.02    0.24   0.59  -1.18   -0.4   0.22   0.32   0.96      6   1.12
gamma_r[4]       -0.3    0.17   0.76  -1.63  -0.67  -0.65   0.21   1.42     20    1.1
gamma_r[5]      -0.63    0.52    0.9  -1.86  -1.37  -0.89   0.07   1.25      3   1.34
