deck,gain,loss,subjID,trial
4,45.0,-300.0,1,1
2,100.0,0.0,1,2
2,140.0,0.0,1,3
2,130.0,0.0,1,4
2,130.0,-1405.0,1,5
2,105.0,0.0,1,6
2,90.0,0.0,1,7
2,125.0,0.0,1,8
2,120.0,0.0,1,9
2,100.0,0.0,1,10
2,115.0,0.0,1,11
2,85.0,0.0,1,12
2,100.0,0.0,1,13
2,85.0,0.0,1,14
2,95.0,0.0,1,15
2,100.0,-1430.0,1,16
2,95.0,0.0,1,17
2,125.0,0.0,1,18
2,110.0,0.0,1,19
2,125.0,0.0,1,20
2,110.0,0.0,1,21
2,100.0,0.0,1,22
2,80.0,0.0,1,23
2,115.0,0.0,1,24
2,85.0,0.0,1,25
2,90.0,0.0,1,26
2,115.0,-1545.0,1,27
2,110.0,0.0,1,28
2,110.0,0.0,1,29
2,85.0,0.0,1,30
2,105.0,0.0,1,31
2,110.0,0.0,1,32
2,105.0,-1845.0,1,33
2,95.0,0.0,1,34
2,140.0,0.0,1,35
2,115.0,0.0,1,36
2,90.0,0.0,1,37
2,110.0,0.0,1,38
2,115.0,0.0,1,39
2,140.0,0.0,1,40
2,125.0,0.0,1,41
2,130.0,0.0,1,42
2,95.0,0.0,1,43
2,115.0,0.0,1,44
2,90.0,0.0,1,45
2,115.0,0.0,1,46
2,120.0,0.0,1,47
2,110.0,0.0,1,48
2,135.0,0.0,1,49
2,135.0,-2025.0,1,50
2,130.0,0.0,1,51
2,130.0,0.0,1,52
2,125.0,0.0,1,53
2,80.0,0.0,1,54
2,135.0,0.0,1,55
2,105.0,0.0,1,56
2,130.0,0.0,1,57
2,125.0,0.0,1,58
2,140.0,-2160.0,1,59
2,105.0,0.0,1,60
2,85.0,0.0,1,61
1,130.0,-663.0,1,62
1,140.0,-52.0,1,63
1,90.0,-109.0,1,64
1,125.0,0.0,1,65
1,140.0,0.0,1,66
1,110.0,0.0,1,67
1,100.0,0.0,1,68
1,95.0,-2.0,1,69
1,95.0,-579.0,1,70
1,130.0,0.0,1,71
1,105.0,-432.0,1,72
1,130.0,-339.0,1,73
1,80.0,0.0,1,74
1,80.0,0.0,1,75
1,130.0,0.0,1,76
1,90.0,-122.0,1,77
1,85.0,0.0,1,78
1,105.0,-183.0,1,79
1,140.0,0.0,1,80
1,130.0,-399.0,1,81
1,120.0,-580.0,1,82
1,140.0,0.0,1,83
1,135.0,0.0,1,84
1,115.0,-349.0,1,85
1,120.0,-65.0,1,86
1,125.0,0.0,1,87
3,55.0,-45.0,1,88
1,130.0,-484.0,1,89
1,85.0,-232.0,1,90
1,80.0,0.0,1,91
1,110.0,0.0,1,92
1,110.0,0.0,1,93
1,80.0,0.0,1,94
1,100.0,-924.0,1,95
1,95.0,-21.0,1,96
1,115.0,-160.0,1,97
1,90.0,-491.0,1,98
1,115.0,0.0,1,99
1,125.0,0.0,1,100
4,45.0,-300.0,2,1
4,70.0,0.0,2,2
3,55.0,-45.0,2,3
3,60.0,0.0,2,4
3,60.0,0.0,2,5
3,60.0,-62.0,2,6
3,70.0,0.0,2,7
3,40.0,-69.0,2,8
3,80.0,-114.0,2,9
1,130.0,-663.0,2,10
4,60.0,0.0,2,11
4,40.0,0.0,2,12
4,50.0,0.0,2,13
4,45.0,0.0,2,14
4,45.0,0.0,2,15
4,70.0,0.0,2,16
4,80.0,0.0,2,17
4,45.0,0.0,2,18
4,40.0,0.0,2,19
4,80.0,0.0,2,20
4,75.0,0.0,2,21
4,70.0,0.0,2,22
4,40.0,0.0,2,23
4,75.0,0.0,2,24
4,50.0,0.0,2,25
4,55.0,0.0,2,26
4,80.0,-360.0,2,27
4,70.0,0.0,2,28
4,80.0,0.0,2,29
4,80.0,-380.0,2,30
4,65.0,0.0,2,31
4,80.0,0.0,2,32
4,65.0,0.0,2,33
4,50.0,0.0,2,34
4,60.0,0.0,2,35
4,80.0,0.0,2,36
4,80.0,0.0,2,37
4,40.0,0.0,2,38
4,50.0,-245.0,2,39
4,55.0,0.0,2,40
4,70.0,0.0,2,41
4,60.0,0.0,2,42
4,70.0,0.0,2,43
4,40.0,0.0,2,44
4,75.0,0.0,2,45
4,60.0,0.0,2,46
4,45.0,0.0,2,47
4,45.0,0.0,2,48
4,65.0,0.0,2,49
4,65.0,-280.0,2,50
4,75.0,0.0,2,51
4,60.0,0.0,2,52
4,80.0,0.0,2,53
4,55.0,0.0,2,54
4,60.0,0.0,2,55
4,50.0,0.0,2,56
4,50.0,0.0,2,57
4,70.0,0.0,2,58
4,55.0,0.0,2,59
4,65.0,0.0,2,60
4,75.0,-250.0,2,61
4,75.0,0.0,2,62
4,45.0,0.0,2,63
4,60.0,0.0,2,64
4,75.0,0.0,2,65
4,75.0,0.0,2,66
4,50.0,0.0,2,67
4,50.0,0.0,2,68
3,55.0,0.0,2,69
3,45.0,0.0,2,70
3,60.0,-45.0,2,71
3,60.0,-2.0,2,72
3,55.0,0.0,2,73
3,45.0,-95.0,2,74
3,55.0,-98.0,2,75
2,100.0,0.0,2,76
2,140.0,0.0,2,77
2,130.0,0.0,2,78
2,130.0,-1405.0,2,79
2,105.0,0.0,2,80
2,90.0,0.0,2,81
2,125.0,0.0,2,82
2,120.0,0.0,2,83
2,100.0,0.0,2,84
2,115.0,0.0,2,85
2,85.0,0.0,2,86
2,100.0,0.0,2,87
2,85.0,0.0,2,88
2,95.0,0.0,2,89
2,100.0,-1430.0,2,90
2,95.0,0.0,2,91
2,125.0,0.0,2,92
2,110.0,0.0,2,93
2,125.0,0.0,2,94
2,110.0,0.0,2,95
2,100.0,0.0,2,96
2,80.0,0.0,2,97
2,115.0,0.0,2,98
2,85.0,0.0,2,99
2,90.0,0.0,2,100
3,55.0,-45.0,3,1
2,100.0,0.0,3,2
4,45.0,-300.0,3,3
1,130.0,-663.0,3,4
4,70.0,0.0,3,5
3,60.0,0.0,3,6
1,140.0,-52.0,3,7
4,60.0,0.0,3,8
2,140.0,0.0,3,9
3,60.0,0.0,3,10
3,60.0,-62.0,3,11
1,90.0,-109.0,3,12
2,130.0,0.0,3,13
1,125.0,0.0,3,14
4,40.0,0.0,3,15
1,140.0,0.0,3,16
4,50.0,0.0,3,17
3,70.0,0.0,3,18
4,45.0,0.0,3,19
1,110.0,0.0,3,20
4,45.0,0.0,3,21
2,130.0,-1405.0,3,22
4,70.0,0.0,3,23
1,100.0,0.0,3,24
4,80.0,0.0,3,25
1,95.0,-2.0,3,26
3,40.0,-69.0,3,27
4,45.0,0.0,3,28
2,105.0,0.0,3,29
1,95.0,-579.0,3,30
4,40.0,0.0,3,31
1,130.0,0.0,3,32
4,80.0,0.0,3,33
1,105.0,-432.0,3,34
3,80.0,-114.0,3,35
2,90.0,0.0,3,36
4,75.0,0.0,3,37
2,125.0,0.0,3,38
3,55.0,0.0,3,39
4,70.0,0.0,3,40
1,130.0,-339.0,3,41
2,120.0,0.0,3,42
4,40.0,0.0,3,43
2,100.0,0.0,3,44
4,75.0,0.0,3,45
1,80.0,0.0,3,46
3,45.0,0.0,3,47
1,80.0,0.0,3,48
4,50.0,0.0,3,49
2,115.0,0.0,3,50
4,55.0,0.0,3,51
1,130.0,0.0,3,52
4,80.0,-360.0,3,53
2,85.0,0.0,3,54
1,90.0,-122.0,3,55
2,100.0,0.0,3,56
4,70.0,0.0,3,57
2,85.0,0.0,3,58
1,85.0,0.0,3,59
4,80.0,0.0,3,60
2,95.0,0.0,3,61
4,80.0,-380.0,3,62
1,105.0,-183.0,3,63
2,100.0,-1430.0,3,64
4,65.0,0.0,3,65
1,140.0,0.0,3,66
2,95.0,0.0,3,67
1,130.0,-399.0,3,68
4,80.0,0.0,3,69
4,65.0,0.0,3,70
2,125.0,0.0,3,71
4,50.0,0.0,3,72
1,120.0,-580.0,3,73
2,110.0,0.0,3,74
4,60.0,0.0,3,75
2,125.0,0.0,3,76
4,80.0,0.0,3,77
2,110.0,0.0,3,78
4,80.0,0.0,3,79
2,100.0,0.0,3,80
4,40.0,0.0,3,81
2,80.0,0.0,3,82
1,140.0,0.0,3,83
2,115.0,0.0,3,84
4,50.0,-245.0,3,85
1,135.0,0.0,3,86
2,85.0,0.0,3,87
4,55.0,0.0,3,88
2,90.0,0.0,3,89
4,70.0,0.0,3,90
2,115.0,-1545.0,3,91
4,60.0,0.0,3,92
2,110.0,0.0,3,93
4,70.0,0.0,3,94
4,40.0,0.0,3,95
2,110.0,0.0,3,96
4,75.0,0.0,3,97
2,85.0,0.0,3,98
4,60.0,0.0,3,99
1,115.0,-349.0,3,100
2,100.0,0.0,4,1
2,140.0,0.0,4,2
2,130.0,0.0,4,3
2,130.0,-1405.0,4,4
4,45.0,-300.0,4,5
1,130.0,-663.0,4,6
3,55.0,-45.0,4,7
3,60.0,0.0,4,8
3,60.0,0.0,4,9
3,60.0,-62.0,4,10
3,70.0,0.0,4,11
3,40.0,-69.0,4,12
3,80.0,-114.0,4,13
3,55.0,0.0,4,14
3,45.0,0.0,4,15
3,60.0,-45.0,4,16
3,60.0,-2.0,4,17
3,55.0,0.0,4,18
3,45.0,-95.0,4,19
3,55.0,-98.0,4,20
3,55.0,0.0,4,21
3,40.0,-1.0,4,22
3,75.0,0.0,4,23
3,60.0,0.0,4,24
3,70.0,-104.0,4,25
3,60.0,0.0,4,26
3,45.0,-82.0,4,27
3,75.0,0.0,4,28
3,80.0,0.0,4,29
3,50.0,0.0,4,30
3,75.0,0.0,4,31
3,70.0,-141.0,4,32
3,80.0,-31.0,4,33
3,40.0,-20.0,4,34
3,65.0,-46.0,4,35
3,40.0,0.0,4,36
3,45.0,-152.0,4,37
3,40.0,-18.0,4,38
3,65.0,0.0,4,39
3,45.0,0.0,4,40
3,80.0,0.0,4,41
3,60.0,-8.0,4,42
3,45.0,-48.0,4,43
3,50.0,-34.0,4,44
3,80.0,0.0,4,45
3,75.0,0.0,4,46
3,80.0,-14.0,4,47
3,70.0,-62.0,4,48
3,65.0,0.0,4,49
3,50.0,0.0,4,50
3,45.0,-78.0,4,51
3,50.0,-46.0,4,52
3,60.0,0.0,4,53
3,45.0,0.0,4,54
3,45.0,0.0,4,55
3,45.0,-5.0,4,56
3,45.0,-11.0,4,57
3,60.0,0.0,4,58
3,70.0,-48.0,4,59
3,80.0,0.0,4,60
3,75.0,0.0,4,61
3,55.0,-46.0,4,62
3,80.0,-1.0,4,63
3,75.0,0.0,4,64
3,55.0,-169.0,4,65
3,55.0,0.0,4,66
4,70.0,0.0,4,67
4,60.0,0.0,4,68
4,40.0,0.0,4,69
4,50.0,0.0,4,70
4,45.0,0.0,4,71
4,45.0,0.0,4,72
4,70.0,0.0,4,73
4,80.0,0.0,4,74
4,45.0,0.0,4,75
4,40.0,0.0,4,76
4,80.0,0.0,4,77
4,75.0,0.0,4,78
4,70.0,0.0,4,79
4,40.0,0.0,4,80
4,75.0,0.0,4,81
4,50.0,0.0,4,82
4,55.0,0.0,4,83
4,80.0,-360.0,4,84
4,70.0,0.0,4,85
4,80.0,0.0,4,86
4,80.0,-380.0,4,87
4,65.0,0.0,4,88
4,80.0,0.0,4,89
4,65.0,0.0,4,90
4,50.0,0.0,4,91
4,60.0,0.0,4,92
4,80.0,0.0,4,93
4,80.0,0.0,4,94
4,40.0,0.0,4,95
4,50.0,-245.0,4,96
4,55.0,0.0,4,97
4,70.0,0.0,4,98
4,60.0,0.0,4,99
4,70.0,0.0,4,100
1,130.0,-663.0,5,1
3,55.0,-45.0,5,2
3,60.0,0.0,5,3
3,60.0,0.0,5,4
3,60.0,-62.0,5,5
3,70.0,0.0,5,6
3,40.0,-69.0,5,7
3,80.0,-114.0,5,8
2,100.0,0.0,5,9
2,140.0,0.0,5,10
2,130.0,0.0,5,11
2,130.0,-1405.0,5,12
2,105.0,0.0,5,13
2,90.0,0.0,5,14
2,125.0,0.0,5,15
2,120.0,0.0,5,16
2,100.0,0.0,5,17
2,115.0,0.0,5,18
2,85.0,0.0,5,19
2,100.0,0.0,5,20
2,85.0,0.0,5,21
2,95.0,0.0,5,22
2,100.0,-1430.0,5,23
2,95.0,0.0,5,24
2,125.0,0.0,5,25
2,110.0,0.0,5,26
2,125.0,0.0,5,27
2,110.0,0.0,5,28
2,100.0,0.0,5,29
2,80.0,0.0,5,30
2,115.0,0.0,5,31
1,140.0,-52.0,5,32
2,85.0,0.0,5,33
2,90.0,0.0,5,34
2,115.0,-1545.0,5,35
4,45.0,-300.0,5,36
4,70.0,0.0,5,37
4,60.0,0.0,5,38
2,110.0,0.0,5,39
2,110.0,0.0,5,40
2,85.0,0.0,5,41
2,105.0,0.0,5,42
2,110.0,0.0,5,43
2,105.0,-1845.0,5,44
2,95.0,0.0,5,45
2,140.0,0.0,5,46
2,115.0,0.0,5,47
2,90.0,0.0,5,48
2,110.0,0.0,5,49
2,115.0,0.0,5,50
2,140.0,0.0,5,51
2,125.0,0.0,5,52
2,130.0,0.0,5,53
2,95.0,0.0,5,54
2,115.0,0.0,5,55
2,90.0,0.0,5,56
2,115.0,0.0,5,57
2,120.0,0.0,5,58
2,110.0,0.0,5,59
2,135.0,0.0,5,60
2,135.0,-2025.0,5,61
2,130.0,0.0,5,62
2,130.0,0.0,5,63
2,125.0,0.0,5,64
2,80.0,0.0,5,65
2,135.0,0.0,5,66
2,105.0,0.0,5,67
2,130.0,0.0,5,68
2,125.0,0.0,5,69
2,140.0,-2160.0,5,70
2,105.0,0.0,5,71
2,85.0,0.0,5,72
3,55.0,0.0,5,73
3,45.0,0.0,5,74
3,60.0,-45.0,5,75
1,90.0,-109.0,5,76
3,60.0,-2.0,5,77
3,55.0,0.0,5,78
3,45.0,-95.0,5,79
3,55.0,-98.0,5,80
4,40.0,0.0,5,81
4,50.0,0.0,5,82
4,45.0,0.0,5,83
4,45.0,0.0,5,84
4,70.0,0.0,5,85
4,80.0,0.0,5,86
4,45.0,0.0,5,87
4,40.0,0.0,5,88
4,80.0,0.0,5,89
4,75.0,0.0,5,90
4,70.0,0.0,5,91
4,40.0,0.0,5,92
4,75.0,0.0,5,93
4,50.0,0.0,5,94
4,55.0,0.0,5,95
4,80.0,-360.0,5,96
4,70.0,0.0,5,97
4,80.0,0.0,5,98
4,80.0,-380.0,5,99
4,65.0,0.0,5,100
1,130.0,-663.0,6,1
4,45.0,-300.0,6,2
3,55.0,-45.0,6,3
3,60.0,0.0,6,4
4,70.0,0.0,6,5
2,100.0,0.0,6,6
