deck,gain,loss,subjID,trial
1,130.0,-663.0,1,1
2,100.0,0.0,1,2
4,45.0,-300.0,1,3
2,140.0,0.0,1,4
2,130.0,0.0,1,5
2,130.0,-1405.0,1,6
2,105.0,0.0,1,7
2,90.0,0.0,1,8
2,125.0,0.0,1,9
2,120.0,0.0,1,10
2,100.0,0.0,1,11
2,115.0,0.0,1,12
2,85.0,0.0,1,13
2,100.0,0.0,1,14
2,85.0,0.0,1,15
2,95.0,0.0,1,16
2,100.0,-1430.0,1,17
2,95.0,0.0,1,18
2,125.0,0.0,1,19
2,110.0,0.0,1,20
2,125.0,0.0,1,21
2,110.0,0.0,1,22
2,100.0,0.0,1,23
2,80.0,0.0,1,24
2,115.0,0.0,1,25
2,85.0,0.0,1,26
2,90.0,0.0,1,27
2,115.0,-1545.0,1,28
2,110.0,0.0,1,29
2,110.0,0.0,1,30
2,85.0,0.0,1,31
2,105.0,0.0,1,32
2,110.0,0.0,1,33
2,105.0,-1845.0,1,34
2,95.0,0.0,1,35
2,140.0,0.0,1,36
2,115.0,0.0,1,37
2,90.0,0.0,1,38
2,110.0,0.0,1,39
2,115.0,0.0,1,40
2,140.0,0.0,1,41
2,125.0,0.0,1,42
2,130.0,0.0,1,43
2,95.0,0.0,1,44
2,115.0,0.0,1,45
2,90.0,0.0,1,46
2,115.0,0.0,1,47
2,120.0,0.0,1,48
2,110.0,0.0,1,49
2,135.0,0.0,1,50
2,135.0,-2025.0,1,51
2,130.0,0.0,1,52
2,130.0,0.0,1,53
2,125.0,0.0,1,54
2,80.0,0.0,1,55
2,135.0,0.0,1,56
2,105.0,0.0,1,57
2,130.0,0.0,1,58
2,125.0,0.0,1,59
2,140.0,-2160.0,1,60
2,105.0,0.0,1,61
2,85.0,0.0,1,62
4,70.0,0.0,1,63
3,55.0,-45.0,1,64
4,60.0,0.0,1,65
4,40.0,0.0,1,66
4,50.0,0.0,1,67
4,45.0,0.0,1,68
4,45.0,0.0,1,69
4,70.0,0.0,1,70
4,80.0,0.0,1,71
4,45.0,0.0,1,72
4,40.0,0.0,1,73
4,80.0,0.0,1,74
4,75.0,0.0,1,75
4,70.0,0.0,1,76
4,40.0,0.0,1,77
4,75.0,0.0,1,78
4,50.0,0.0,1,79
4,55.0,0.0,1,80
4,80.0,-360.0,1,81
4,70.0,0.0,1,82
4,80.0,0.0,1,83
4,80.0,-380.0,1,84
4,65.0,0.0,1,85
4,80.0,0.0,1,86
4,65.0,0.0,1,87
4,50.0,0.0,1,88
4,60.0,0.0,1,89
4,80.0,0.0,1,90
4,80.0,0.0,1,91
4,40.0,0.0,1,92
4,50.0,-245.0,1,93
4,55.0,0.0,1,94
4,70.0,0.0,1,95
4,60.0,0.0,1,96
4,70.0,0.0,1,97
4,40.0,0.0,1,98
4,75.0,0.0,1,99
4,60.0,0.0,1,100
3,55.0,-45.0,2,1
2,100.0,0.0,2,2
2,140.0,0.0,2,3
2,130.0,0.0,2,4
2,130.0,-1405.0,2,5
2,105.0,0.0,2,6
2,90.0,0.0,2,7
2,125.0,0.0,2,8
2,120.0,0.0,2,9
2,100.0,0.0,2,10
2,115.0,0.0,2,11
2,85.0,0.0,2,12
2,100.0,0.0,2,13
2,85.0,0.0,2,14
2,95.0,0.0,2,15
2,100.0,-1430.0,2,16
2,95.0,0.0,2,17
2,125.0,0.0,2,18
2,110.0,0.0,2,19
2,125.0,0.0,2,20
2,110.0,0.0,2,21
2,100.0,0.0,2,22
2,80.0,0.0,2,23
2,115.0,0.0,2,24
2,85.0,0.0,2,25
2,90.0,0.0,2,26
2,115.0,-1545.0,2,27
2,110.0,0.0,2,28
2,110.0,0.0,2,29
2,85.0,0.0,2,30
2,105.0,0.0,2,31
2,110.0,0.0,2,32
2,105.0,-1845.0,2,33
2,95.0,0.0,2,34
2,140.0,0.0,2,35
2,115.0,0.0,2,36
2,90.0,0.0,2,37
2,110.0,0.0,2,38
2,115.0,0.0,2,39
2,140.0,0.0,2,40
2,125.0,0.0,2,41
2,130.0,0.0,2,42
2,95.0,0.0,2,43
2,115.0,0.0,2,44
2,90.0,0.0,2,45
2,115.0,0.0,2,46
2,120.0,0.0,2,47
2,110.0,0.0,2,48
2,135.0,0.0,2,49
2,135.0,-2025.0,2,50
