deck,gain,loss,subjID,trial
3,55.0,-45.0,1,1
3,60.0,0.0,1,2
3,60.0,0.0,1,3
3,60.0,-62.0,1,4
3,70.0,0.0,1,5
3,40.0,-69.0,1,6
3,80.0,-114.0,1,7
3,55.0,0.0,1,8
4,45.0,-300.0,1,9
2,100.0,0.0,1,10
1,130.0,-663.0,1,11
3,45.0,0.0,1,12
2,140.0,0.0,1,13
2,130.0,0.0,1,14
2,130.0,-1405.0,1,15
4,70.0,0.0,1,16
2,105.0,0.0,1,17
1,140.0,-52.0,1,18
1,90.0,-109.0,1,19
4,60.0,0.0,1,20
4,40.0,0.0,1,21
2,90.0,0.0,1,22
1,125.0,0.0,1,23
2,125.0,0.0,1,24
2,120.0,0.0,1,25
2,100.0,0.0,1,26
2,115.0,0.0,1,27
2,85.0,0.0,1,28
3,60.0,-45.0,1,29
3,60.0,-2.0,1,30
3,55.0,0.0,1,31
4,50.0,0.0,1,32
2,100.0,0.0,1,33
2,85.0,0.0,1,34
1,140.0,0.0,1,35
1,110.0,0.0,1,36
4,45.0,0.0,1,37
3,45.0,-95.0,1,38
4,45.0,0.0,1,39
1,100.0,0.0,1,40
1,95.0,-2.0,1,41
3,55.0,-98.0,1,42
1,95.0,-579.0,1,43
4,70.0,0.0,1,44
4,80.0,0.0,1,45
4,45.0,0.0,1,46
4,40.0,0.0,1,47
4,80.0,0.0,1,48
4,75.0,0.0,1,49
1,130.0,0.0,1,50
2,95.0,0.0,1,51
3,55.0,0.0,1,52
4,70.0,0.0,1,53
4,40.0,0.0,1,54
1,105.0,-432.0,1,55
3,40.0,-1.0,1,56
3,75.0,0.0,1,57
2,100.0,-1430.0,1,58
1,130.0,-339.0,1,59
3,60.0,0.0,1,60
3,70.0,-104.0,1,61
4,75.0,0.0,1,62
4,50.0,0.0,1,63
3,60.0,0.0,1,64
3,45.0,-82.0,1,65
3,75.0,0.0,1,66
2,95.0,0.0,1,67
2,125.0,0.0,1,68
1,80.0,0.0,1,69
4,55.0,0.0,1,70
4,80.0,-360.0,1,71
1,80.0,0.0,1,72
2,110.0,0.0,1,73
2,125.0,0.0,1,74
1,130.0,0.0,1,75
4,70.0,0.0,1,76
1,90.0,-122.0,1,77
2,110.0,0.0,1,78
2,100.0,0.0,1,79
2,80.0,0.0,1,80
4,80.0,0.0,1,81
3,80.0,0.0,1,82
3,50.0,0.0,1,83
4,80.0,-380.0,1,84
4,65.0,0.0,1,85
4,80.0,0.0,1,86
4,65.0,0.0,1,87
1,85.0,0.0,1,88
