deck,gain,loss,subjID,trial
4,80.0,0.0,1,1
1,100.0,0.0,1,2
1,110.0,-139.0,1,3
2,105.0,0.0,1,4
2,85.0,-1370.0,1,5
2,130.0,0.0,1,6
2,125.0,0.0,1,7
3,45.0,0.0,1,8
2,90.0,0.0,1,9
3,45.0,0.0,1,10
4,75.0,0.0,1,11
4,45.0,0.0,1,12
4,75.0,0.0,1,13
4,60.0,0.0,1,14
3,75.0,0.0,1,15
3,40.0,-36.0,1,16
2,105.0,0.0,1,17
2,120.0,0.0,1,18
2,140.0,0.0,1,19
3,60.0,-73.0,1,20
1,135.0,-84.0,1,21
1,80.0,0.0,1,22
1,105.0,-444.0,1,23
2,115.0,0.0,1,24
2,105.0,0.0,1,25
4,65.0,0.0,1,26
2,80.0,0.0,1,27
1,125.0,0.0,1,28
1,80.0,-584.0,1,29
1,90.0,0.0,1,30
2,80.0,0.0,1,31
3,65.0,-172.0,1,32
1,95.0,0.0,1,33
1,90.0,-9.0,1,34
1,105.0,-372.0,1,35
1,130.0,0.0,1,36
1,125.0,-259.0,1,37
1,85.0,-9.0,1,38
1,90.0,-833.0,1,39
1,120.0,0.0,1,40
1,140.0,0.0,1,41
1,95.0,0.0,1,42
3,60.0,-18.0,1,43
1,95.0,-32.0,1,44
4,40.0,0.0,1,45
3,60.0,-21.0,1,46
1,120.0,0.0,1,47
4,50.0,-355.0,1,48
2,135.0,0.0,1,49
3,80.0,0.0,1,50
3,40.0,0.0,1,51
2,130.0,0.0,1,52
2,90.0,0.0,1,53
2,135.0,0.0,1,54
2,135.0,-1480.0,1,55
1,85.0,0.0,1,56
1,95.0,-617.0,1,57
4,45.0,0.0,1,58
4,70.0,0.0,1,59
2,95.0,0.0,1,60
2,115.0,0.0,1,61
3,75.0,0.0,1,62
3,80.0,-2.0,1,63
2,85.0,0.0,1,64
2,95.0,0.0,1,65
1,120.0,0.0,1,66
1,135.0,-549.0,1,67
4,55.0,0.0,1,68
4,80.0,0.0,1,69
4,40.0,0.0,1,70
4,75.0,0.0,1,71
1,115.0,0.0,1,72
1,125.0,0.0,1,73
4,80.0,0.0,1,74
1,125.0,-226.0,1,75
2,95.0,0.0,1,76
2,115.0,-1680.0,1,77
2,140.0,0.0,1,78
2,130.0,0.0,1,79
1,115.0,-63.0,1,80
3,65.0,-179.0,1,81
2,135.0,0.0,1,82
4,65.0,0.0,1,83
2,140.0,0.0,1,84
4,45.0,0.0,1,85
2,105.0,0.0,1,86
2,80.0,0.0,1,87
3,70.0,-48.0,1,88
4,75.0,0.0,1,89
1,110.0,0.0,1,90
2,95.0,0.0,1,91
2,80.0,0.0,1,92
4,70.0,0.0,1,93
4,45.0,-355.0,1,94
2,100.0,0.0,1,95
3,70.0,-65.0,1,96
